_id,ltable_Length_ft,ltable_make_model,ltable_seller,ltable_location,ltable_year,ltable_price_US,ltable_hull_material,rtable_Length_ft,rtable_make_model,rtable_seller,rtable_location,rtable_year,rtable_price_US,rtable_hull_material
304077,19,Stingray.198 XLS,"Olversons Lodge Creek Marina, Inc.","Lottsburg, Virginia",1989,3000,Fiberglass,19,Stingray 198 XLS,"Olversons Lodge Creek Marina, Inc.
   ","Lottsburg, VA",1989,3000,Fiberglass
310442,19,Wellcraft.Eclipse 196,Tuppens Marine,United States,1995,8900,Fiberglass,19,Wellcraft Eclipse 196,"Tuppens Marine
   ",United States,1995,8900,Fiberglass
311096,19,Wellcraft.190 Bowrider,COMPLETE MARINE,"Pompano beach , Florida",1987,999,Fiberglass,19,Wellcraft 190 Bowrider,"COMPLETE MARINE
   ","Pompano beach , FL",1987,999,Fiberglass
312105,19,Wellcraft.American 190,Holiday Harbor,"Chautauqua Lake-Celoron, New York",1985,3990,Fiberglass,19,Wellcraft 190 American,"Holiday Harbor
   ","Chautauqua Lake-Celoron, NY",1985,3990,Fiberglass
352864,19,Hurricane.SunDeck 187 OB,Yacht Masters,"Merritt Island, Florida",2014,28200,Fiberglass,19,Hurricane SunDeck 187 OB,"Yacht Masters
   ","Merritt Island, FL",2014,28200,Fiberglass
354553,19,Key West.186 Dual Console,Cypress Cove Marina,"Columbia, North Carolina",2016,32800,Fiberglass,19,Key West 186 Dual Console,"Cypress Cove Marina
   ","Columbia, NC",2016,32800,Fiberglass
358559,19,Bayliner.195 Discovery,Dredge Harbor Boat Center LLC.,"Delran, New Jersey",2010,15900,Fiberglass,19,Bayliner 195 Discovery,"Dredge Harbor Boat Center LLC.
   ","Delran, NJ",2010,15900,Fiberglass
359894,19,Hurricane.188 Sun Deck Sport,Sunrise Marine,"Mary Esther, Florida",2014,19735,Fiberglass,19,Hurricane 188 Sun Deck Sport,"Sunrise Marine - Boat Sales, Service & Parts
   ","Mary Esther, FL",2014,19735,Fiberglass
363230,19,Nautic Star.193 SC SPORT DECK,North Florida Yacht Sales,"Jacksonville, Florida",2017,Request Price,Fiberglass,19,NauticStar 193 SC SPORT DECK,"North Florida Yacht Sales
   ","Jacksonville, FL",2017,1,Fiberglass
367263,19,Edgewater.188 Dual Console,North Shore Sales,"Spring Lake, Michigan",2011,36900,Fiberglass,19,Edgewater 188 Dual Console,"North Shore Sales
   ","Spring Lake, MI",2011,36900,Fiberglass
369594,19,Bayliner.Flight Series,Captain Robert Heay,"Port Orchard, Washington",2013,27950,Fiberglass,19,Bayliner Flight Series,"Robert Heay's Port Orchard Yacht Sales, Inc
   ","Port Orchard, WA",2013,27950,Fiberglass
376277,19,Sea Ray.185 Sport,"Onekama Marine, Inc.","Onekama, Michigan",2005,14995,Fiberglass,19,Sea Ray 185 Sport,"Onekama Marine, Inc.
   ","Onekama, MI",2005,14995,Fiberglass
378626,19,Sea Ray.185 Sport,E Yachting,"Gloucester, Virginia",2005,12900,Fiberglass,19,Sea Ray 185 Sport,"E Yachting
   ","Gloucester, VA",2005,12900,Fiberglass
379625,19,Sea Ray.185 Bow Rider,Aquarius Boat Sales,"Brick, New Jersey",1998,6900,Fiberglass,19,Sea Ray 185 Bow Rider,"Aquarius Boat Sales
   ","Brick, NJ",1998,6900,Fiberglass
379961,19,Seaswirl.190 Bowrider I/O,Ocean Beach Marine Centers (Lavallette),"Lavallette, New Jersey",2003,9750,Fiberglass,19,Seaswirl 190 Bowrider I/O,"Ocean Beach Marine Centers
   ","Lavallette, NJ",2003,9750,Fiberglass
387933,21,Crownline.215 SS,"Marina Yacht Brokers, llc.","Punta Gorda, Florida",2013,35995,Fiberglass,21,Crownline 215 SS,"Marina Yacht Brokers, llc.
   ","Punta Gorda, FL",2013,35995,Fiberglass
392078,21,Cobalt.220 WSS,"Ugly John's Custom Boats, LLC.","Catoosa, Oklahoma",2013,52500,Fiberglass,21,Cobalt 220 WSS,"Ugly John's Custom Boats, LLC.
   ","Catoosa, OK",2013,52500,Fiberglass
392494,21,Four Winns.H210,Gulf Coast Boat Sales,"Aventura, Florida",2013,32000,Fiberglass,21,Four Winns H210,"Gulf Coast Boat Sales & Yacht Management
   ","Aventura, FL",2013,32000,Fiberglass
403270,21,Maxum.2100 SR,Lucky Dog Yacht Sales,"Sarasota , Florida",2002,14995,Fiberglass,21,Maxum 2100 SR,"Lucky Dog Yacht Sales
   ","Sarasota , FL",2002,14995,Fiberglass
434749,21,KEY WEST BOATS.211DC,"Racine Riverside Marine, Inc.","Racine, Wisconsin",2016,53952,Fiberglass,21,KEY WEST BOATS 211DC,"Racine Riverside Marine, Inc.
   ","Racine, WI",2016,53952,Fiberglass
435173,21,Sea Hunt.Escape 211 LE,"All Seasons Marine Works, Inc","Westport, Connecticut",2016,Request Price,Fiberglass,21,Sea Hunt Escape 211 LE,"All Seasons Marine Works, Inc
   ","Westport, CT",2016,1,Fiberglass
436043,21,Chaparral 2130 ss.,Captain's Choice of Pickwick,"Pickwick Lake TN, Tennessee",1999,12900,Fiberglass,21,Chaparral 2130 ss ,"Captain's Choice of Pickwick
   ","Pickwick Lake TN, TN",1999,12900,Fiberglass
438882,21,Maxum.2100 SD,Aquarius Boat Sales,"Bayville, New Jersey",2003,13900,Fiberglass,21,Maxum 2100 SD,"Aquarius Boat Sales
   ","Bayville, NJ",2003,13900,Fiberglass
439711,21,Larson.LSR 2100 IO,Dredge Harbor Boat Center LLC.,"Delran, New Jersey",2016,60408,Fiberglass,21,Larson LSR 2100 IO,"Dredge Harbor Boat Center LLC.
   ","Delran, NJ",2016,60408,Fiberglass
440123,21,Larson.LX 205S IO,Boulder Boats - Arizona,"Mesa, Arizona",2013,27995,Fiberglass,21,Larson LX 205S IO,"Boulder Boats
   ","Mesa, AZ",2013,27995,Fiberglass
440967,21,Sea Hunt.Escape 211 LE,"All Seasons Marine Works, Inc","Rowayton, Connecticut",2016,Request Price,Fiberglass,21,Sea Hunt Escape 211 LE,"All Seasons Marine Works, Inc
   ","Rowayton, CT",2016,1,Fiberglass
441793,21,Aquasport.215 Osprey Sport,Spicer's Brokerage  Sales,"Noank, Connecticut",2005,17495,Fiberglass,21,Aquasport 215 Osprey Sport,"Spicer's Brokerage  Sales
   ","Noank, CT",2005,17495,Fiberglass
442203,21,Bayliner.215 Br,BoatMax,United States,2011,20595,Fiberglass,21,Bayliner 215 BR,"BoatMax
   ",United States,2011,20595,Fiberglass
448420,21,Bayliner.215 Discovery (SCL),Great Lakes Yacht Brokers,"Syracuse, New York",2008,19995,Fiberglass,21,Bayliner 215 Discovery (SCL),"Great Lakes Yacht Brokers
   ","Syracuse, NY",2008,19995,Fiberglass
450914,21,Bayliner.Capri 215,New Jersey Outboards,"Bayville, New Jersey",2005,9995,Fiberglass,21,Bayliner Capri 215,"New Jersey Outboards
   ","Bayville, NJ",2005,9995,Fiberglass
452568,21,Bayliner.Discovery 215,Boats of Dallas,"Dallas, Texas",2007,11999,Fiberglass,21,Bayliner Discovery 215,"Boats of Dallas
   ","Dallas, TX",2007,11999,Fiberglass
455047,21,Bayliner.Bowrider Capri,Buoy 8 Ship's Store,"Saluda, Virginia",2000,5995,Fiberglass,21,Bayliner Bowrider Capri,"Buoy 8 Ship's Store
   ","Saluda, VA",2000,5995,Fiberglass
469546,21,Boston Whaler.210 Ventura,Ocean Beach Marine Centers (Lanoka Harbor),"Lanoka Harbor, New Jersey",2005,32595,Fiberglass,21,Boston Whaler 210 Ventura,"Ocean Beach Marine Centers
   ","Lanoka Harbor, NJ",2005,32595,Fiberglass
473264,21,Bryant.210 Walkabout,Cast Off Yacht Sales,"Forked River, New Jersey",2014,34997,Fiberglass,21,Bryant 210 Walkabout,"Cast Off Yacht Sales
   ","Forked River, NJ",2014,34997,Fiberglass
476167,21,Bryant.214 Wakeboard,"Marine Sales of Pickwick, LLC","COUNCE, Tennessee",2004,23900,Fiberglass,21,Bryant 214 Wakeboard,"Marine Sales of Pickwick, LLC
   ","COUNCE, TN",2004,23900,Fiberglass
481973,21,Chaparral.204 SSi,"Bluewater Bay Yachts, Inc.","Niceville, Florida",2005,9800,Fiberglass,21,Chaparral 204 SSi,"Bluewater Bay Yachts, Inc.
   ","Niceville, FL",2005,9800,Fiberglass
485286,21,Centurion.Elite V C4,Seabreeze Yacht,"Mineral, Virginia",2012,49995,Fiberglass,21,Centurion Elite V C4,"Seabreeze Yacht
   ","Mineral, VA",2012,49995,Fiberglass
489005,21,Chaparral.21 H2O Sport,Waterfront Marine Yacht Sales,"SOMERS POINT, New Jersey",2017,38935,Fiberglass,21,Chaparral 21 H2O Sport,"Waterfront Marine Yacht Sales-New Jersey
   ","SOMERS POINT, NJ",2017,38935,Fiberglass
489435,21,Chaparral.21 H2O Sport,Waterfront Marine Yacht Sales,United States,2017,38393,Fiberglass,21,Chaparral 21 H2O Sport,"Waterfront Marine Yacht Sales-New Jersey
   ",United States,2017,38393,Fiberglass
491088,21,Chaparral.21 H2O Sport,Waterfront Marine Yacht Sales,"Edgewater, Maryland",2017,38560,Fiberglass,21,Chaparral 21 H2O Sport,"Waterfront Marine Yacht Sales-New Jersey
   ","Edgewater, MD",2017,38560,Fiberglass
495631,21,Chaparral.21 H2O Sport,"Twin City Marine, Inc.","Central Falls, Rhode Island",2017,41480,Fiberglass,21,Chaparral 21 H2O Sport,"Twin City Marine, Inc.
   ","Central Falls, RI",2017,41480,Fiberglass
495638,21,Chaparral.21 H2O Sport,"Twin City Marine, Inc.","Central Falls, Rhode Island",2017,41480,Fiberglass,21,Chaparral 21 H2O Sport,"Twin City Marine, Inc.
   ","Central Falls, RI",2017,41065,Fiberglass
496045,21,Chaparral.21 H2O Sport,"Twin City Marine, Inc.","Central Falls, Rhode Island",2017,41065,Fiberglass,21,Chaparral 21 H2O Sport,"Twin City Marine, Inc.
   ","Central Falls, RI",2017,41480,Fiberglass
496052,21,Chaparral.21 H2O Sport,"Twin City Marine, Inc.","Central Falls, Rhode Island",2017,41065,Fiberglass,21,Chaparral 21 H2O Sport,"Twin City Marine, Inc.
   ","Central Falls, RI",2017,41065,Fiberglass
496478,21,Chaparral.H20 21 Sport,Sunrise Marine,"Mary Esther, Florida",2017,39418,Fiberglass,21,Chaparral H20 21 Sport,"Sunrise Marine - Boat Sales, Service & Parts
   ","Mary Esther, FL",2017,32280,Fiberglass
496481,21,Chaparral.H20 21 Sport,Sunrise Marine,"Mary Esther, Florida",2017,39418,Fiberglass,21,Chaparral H20 21 Sport,"Sunrise Marine - Boat Sales, Service & Parts
   ","Mary Esther, FL",2017,Call for Price,Fiberglass
496482,21,Chaparral.H20 21 Sport,Sunrise Marine,"Mary Esther, Florida",2017,39418,Fiberglass,21,Chaparral H20 21 Sport,"Sunrise Marine - Boat Sales, Service & Parts
   ","Mary Esther, FL",2017,39973,Fiberglass
496483,21,Chaparral.H20 21 Sport,Sunrise Marine,"Mary Esther, Florida",2017,39418,Fiberglass,21,Chaparral H20 21 Sport,"Sunrise Marine - Boat Sales, Service & Parts
   ","Mary Esther, FL",2017,39518,Fiberglass
496484,21,Chaparral.H20 21 Sport,Sunrise Marine,"Mary Esther, Florida",2017,39418,Fiberglass,21,Chaparral H20 21 Sport,"Sunrise Marine - Boat Sales, Service & Parts
   ","Mary Esther, FL",2017,39418,Fiberglass
496892,21,Chaparral.H20 21 Sport,Sunrise Marine,"Mary Esther, Florida",2017,39973,Fiberglass,21,Chaparral H20 21 Sport,"Sunrise Marine - Boat Sales, Service & Parts
   ","Mary Esther, FL",2017,32280,Fiberglass
496895,21,Chaparral.H20 21 Sport,Sunrise Marine,"Mary Esther, Florida",2017,39973,Fiberglass,21,Chaparral H20 21 Sport,"Sunrise Marine - Boat Sales, Service & Parts
   ","Mary Esther, FL",2017,Call for Price,Fiberglass
496896,21,Chaparral.H20 21 Sport,Sunrise Marine,"Mary Esther, Florida",2017,39973,Fiberglass,21,Chaparral H20 21 Sport,"Sunrise Marine - Boat Sales, Service & Parts
   ","Mary Esther, FL",2017,39973,Fiberglass
496897,21,Chaparral.H20 21 Sport,Sunrise Marine,"Mary Esther, Florida",2017,39973,Fiberglass,21,Chaparral H20 21 Sport,"Sunrise Marine - Boat Sales, Service & Parts
   ","Mary Esther, FL",2017,39518,Fiberglass
496898,21,Chaparral.H20 21 Sport,Sunrise Marine,"Mary Esther, Florida",2017,39973,Fiberglass,21,Chaparral H20 21 Sport,"Sunrise Marine - Boat Sales, Service & Parts
   ","Mary Esther, FL",2017,39418,Fiberglass
497306,21,Chaparral.H20 21 Sport,Sunrise Marine,"Mary Esther, Florida",2017,39518,Fiberglass,21,Chaparral H20 21 Sport,"Sunrise Marine - Boat Sales, Service & Parts
   ","Mary Esther, FL",2017,32280,Fiberglass
497309,21,Chaparral.H20 21 Sport,Sunrise Marine,"Mary Esther, Florida",2017,39518,Fiberglass,21,Chaparral H20 21 Sport,"Sunrise Marine - Boat Sales, Service & Parts
   ","Mary Esther, FL",2017,Call for Price,Fiberglass
497310,21,Chaparral.H20 21 Sport,Sunrise Marine,"Mary Esther, Florida",2017,39518,Fiberglass,21,Chaparral H20 21 Sport,"Sunrise Marine - Boat Sales, Service & Parts
   ","Mary Esther, FL",2017,39973,Fiberglass
497311,21,Chaparral.H20 21 Sport,Sunrise Marine,"Mary Esther, Florida",2017,39518,Fiberglass,21,Chaparral H20 21 Sport,"Sunrise Marine - Boat Sales, Service & Parts
   ","Mary Esther, FL",2017,39518,Fiberglass
497312,21,Chaparral.H20 21 Sport,Sunrise Marine,"Mary Esther, Florida",2017,39518,Fiberglass,21,Chaparral H20 21 Sport,"Sunrise Marine - Boat Sales, Service & Parts
   ","Mary Esther, FL",2017,39418,Fiberglass
498135,21,Chaparral.H2O 21 Sport Bowrider,Sunrise Marine,"Mary Esther, Florida",2017,42538,Fiberglass,21,Chaparral H2O 21 Sport Bowrider,"Sunrise Marine - Boat Sales, Service & Parts
   ","Mary Esther, FL",2017,42538,Fiberglass
498548,21,Chaparral.H20 21 Sport,Sunrise Marine,"Mary Esther, Florida",2017,32280,Fiberglass,21,Chaparral H20 21 Sport,"Sunrise Marine - Boat Sales, Service & Parts
   ","Mary Esther, FL",2017,32280,Fiberglass
498551,21,Chaparral.H20 21 Sport,Sunrise Marine,"Mary Esther, Florida",2017,32280,Fiberglass,21,Chaparral H20 21 Sport,"Sunrise Marine - Boat Sales, Service & Parts
   ","Mary Esther, FL",2017,Call for Price,Fiberglass
498552,21,Chaparral.H20 21 Sport,Sunrise Marine,"Mary Esther, Florida",2017,32280,Fiberglass,21,Chaparral H20 21 Sport,"Sunrise Marine - Boat Sales, Service & Parts
   ","Mary Esther, FL",2017,39973,Fiberglass
498553,21,Chaparral.H20 21 Sport,Sunrise Marine,"Mary Esther, Florida",2017,32280,Fiberglass,21,Chaparral H20 21 Sport,"Sunrise Marine - Boat Sales, Service & Parts
   ","Mary Esther, FL",2017,39518,Fiberglass
498554,21,Chaparral.H20 21 Sport,Sunrise Marine,"Mary Esther, Florida",2017,32280,Fiberglass,21,Chaparral H20 21 Sport,"Sunrise Marine - Boat Sales, Service & Parts
   ","Mary Esther, FL",2017,39418,Fiberglass
498962,21,Chaparral.H20 21 Sport,Sunrise Marine,"Mary Esther, Florida",2017,Request Price,Fiberglass,21,Chaparral H20 21 Sport,"Sunrise Marine - Boat Sales, Service & Parts
   ","Mary Esther, FL",2017,32280,Fiberglass
498965,21,Chaparral.H20 21 Sport,Sunrise Marine,"Mary Esther, Florida",2017,Request Price,Fiberglass,21,Chaparral H20 21 Sport,"Sunrise Marine - Boat Sales, Service & Parts
   ","Mary Esther, FL",2017,Call for Price,Fiberglass
498966,21,Chaparral.H20 21 Sport,Sunrise Marine,"Mary Esther, Florida",2017,Request Price,Fiberglass,21,Chaparral H20 21 Sport,"Sunrise Marine - Boat Sales, Service & Parts
   ","Mary Esther, FL",2017,39973,Fiberglass
498967,21,Chaparral.H20 21 Sport,Sunrise Marine,"Mary Esther, Florida",2017,Request Price,Fiberglass,21,Chaparral H20 21 Sport,"Sunrise Marine - Boat Sales, Service & Parts
   ","Mary Esther, FL",2017,39518,Fiberglass
498968,21,Chaparral.H20 21 Sport,Sunrise Marine,"Mary Esther, Florida",2017,Request Price,Fiberglass,21,Chaparral H20 21 Sport,"Sunrise Marine - Boat Sales, Service & Parts
   ","Mary Esther, FL",2017,39418,Fiberglass
499360,21,Chaparral.21 H20 SKI & FISH,Sunrise Marine,"Mary Esther, Florida",2017,Request Price,Fiberglass,21,Chaparral 21 H20 SKI & FISH,"Sunrise Marine - Boat Sales, Service & Parts
   ","Mary Esther, FL",2017,Call for Price,Fiberglass
505983,21,Chaparral.21 H2O Sport,Tilly's Marine - Ventura,"Ventura, California",2017,42938,Fiberglass,21,Chaparral 21 H2O Sport,"Tilly's Marine
   ","Ventura, CA",2017,42938,Fiberglass
511362,21,Chaparral.21 H2O Sport,Saba Marine,"Colchester, Vermont",2016,38950,Fiberglass,21,Chaparral 21 H2O Sport,"Saba Marine
   ","Colchester, VT",2016,38950,Fiberglass
513434,21,Chaparral.21 H2O Sport,Pier 33,"St. Joseph, Michigan",2016,44000,Fiberglass,21,Chaparral 21 H2O Sport,"Pier 33
   ","St. Joseph, MI",2016,44000,Fiberglass
514274,21,Chaparral.21 Sport H2O,Pennybridge Marine,"Stony Point, New York",2015,34900,Fiberglass,21,Chaparral 21 Sport H2O,"Pennybridge Marine
   ","Stony Point, NY",2015,34900,Fiberglass
515925,21,Chaparral.210 Suncoast,"Twin City Marine, Inc.","Central Falls, Rhode Island",2016,46953,Fiberglass,21,Chaparral 210 Suncoast,"Twin City Marine, Inc.
   ","Central Falls, RI",2016,46953,Fiberglass
516346,21,Chaparral.210 Suncoast,Anchor Marine,"Farmingdale, New Jersey",2016,47188,Fiberglass,21,Chaparral 210 Suncoast,"Anchor Marine
   ","Farmingdale, NJ",2016,47188,Fiberglass
519664,21,Chaparral.SSi 210,Maritime Boat Sales,"Groton, Connecticut",2005,19900,Fiberglass,21,Chaparral SSi 210,"Maritime Boat Sales
   ","Groton, CT",2005,19900,Fiberglass
520929,21,Chris-Craft.Carina 21,Dave Bofill,"Southampton, New York",2017,Request Price,Fiberglass,21,Chris-Craft Carina 21,"Dave Bofill Marine, Inc
   ","Southampton, NY",2017,Call for Price,Fiberglass
521305,21,Chaparral.216 SSi,InterMarine,"Fort Lauderdale, Florida",2014,34900,Fiberglass,21,Chaparral 216 SSi,"InterMarine
   ","Fort Lauderdale, FL",2014,34900,Fiberglass
522154,21,Chris-Craft.Carina 21,Grande Yachts International - Deerfield,"Deerfield Beach, Florida",2017,Request Price,Fiberglass,21,Chris-Craft Carina 21,"Grande Yachts International
   ","Deerfield Beach, FL",2017,Call for Price,Fiberglass
522985,21,Chris-Craft.Capri 21,Walstrom Marine  - Harbor Springs,"Harbor Springs, Michigan",2016,Request Price,Fiberglass,21,Chris-Craft Capri 21,"Walstrom Marine- Harbor Springs
   ","Harbor Springs, MI",2016,Call for Price,Fiberglass
523815,21,Chris-Craft.Carina 21,Grande Yachts International - Grasonville,"Grasonville, Maryland",2017,Request Price,Fiberglass,21,Chris-Craft Carina 21,"Grande Yachts International
   ","Grasonville, MD",2017,Call for Price,Fiberglass
525449,21,Chaparral.216 SSi,MarineMax Pensacola,"Pensacola, Florida",2002,14550,Fiberglass,21,Chaparral 216 SSi,"MarineMax Inc.
   ","Pensacola, FL",2002,14550,Fiberglass
526697,21,Chaparral.216 SSi,MarineMax Cumming,"Cumming, Georgia",2001,11097,Fiberglass,21,Chaparral 216 SSi,"MarineMax Inc.
   ","Cumming, GA",2001,11097,Fiberglass
527121,21,Chaparral.216 SSi Wide Tech,Tilly's Marine - Ventura,"Ventura, California",2013,52500,Fiberglass,21,Chaparral 216 SSi Wide Tech,"Tilly's Marine
   ","Ventura, CA",2013,52500,Fiberglass
527966,21,Chris-Craft.Carina 21,Barrier Island Marine,"Beaufort, South Carolina",2016,Request Price,Fiberglass,21,Chris-Craft Carina 21,"Barrier Island Marine
   ","Beaufort, SC",2016,1,Fiberglass
532094,21,Chris-Craft.Bowrider 210,Bay Way Marine,"St. Petersburg, Florida",2000,11995,Fiberglass,21,Chris-Craft 210 Bowrider,"Bay Way Marine, Inc.
   ","St. Petersburg, FL",2000,11995,Fiberglass
532510,21,Chris Craft1.210 Bowrider,Ocean Beach Marine Centers (Lanoka Harbor),"Lanoka Harbor, New Jersey",1999,12500,Fiberglass,21,Chris Craft1 210 Bowrider,"Ocean Beach Marine Centers
   ","Lanoka Harbor, NJ",1999,12500,Fiberglass
532927,21,Chris-Craft.210 Bowrider SS,FB Marine Group (Formerly FastBoats Marine Group),"Aventura, Florida",2001,11995,Composite,21,Chris-Craft 210 Bowrider SS,"FB Marine Group
   ","Aventura, FL",2001,11995,Composite
535412,21,Crownlime.21 SS,MarineMax Dallas,"Lewisville, Texas",2009,24995,Fiberglass,21,Crownlime 21 SS,"MarineMax Inc.
   ","Lewisville, TX",2009,24995,Fiberglass
536242,21,Chris-Craft.210 Bow Rider,Ocean Beach Marine Centers (Lavallette),"Lavallette, New Jersey",2000,14760,Fiberglass,21,Chris Craft 210 Bow Rider,"Ocean Beach Marine Centers
   ","Lavallette, NJ",2000,14760,Fiberglass
537069,21,Correct Craft.Super Air 210 Team Edition,Boulder Boats - Arizona,"Mesa, Arizona",2003,26995,Fiberglass,21,Correct Craft Super Air 210 Team Edition,"Boulder Boats
   ","Mesa, AZ",2003,26995,Fiberglass
542468,21,Crownline.210 LX 337H,Longshore Boats,"Charleston, South Carolina",2005,18700,Fiberglass,21,Crownline 210 LX 337H,"Longshore Boats
   ","Charleston, SC",2005,18700,Fiberglass
546604,21,Crownline.215 SS,Tetzlaff Yacht Sales,"Stillwater, Minnesota",2012,29900,Fiberglass,21,Crownline 215 SS,"Tetzlaff Yacht Sales
   ","Stillwater, MN",2012,29900,Fiberglass
550745,21,Duffy. 21classic,Robert Christopher Yacht Sales-Main Office,"Albuquerque, New Mexico",2001,19900,Fiberglass,21,Duffy 21classic,"Robert Christopher Yacht Sales
   ","Albuquerque, NM",2001,19900,Fiberglass
555323,21,Four Winns.210 Horizon,Danversport Marina,"Danvers, Massachusetts",2017,Request Price,Fiberglass,21,Four Winns Horizon 210,"Danversport Marina
   ","Danvers, MA",2017,1,Fiberglass
558199,21,Four Winns.210 Horizon,Aloha Marine Internet Sales,"Daytona Beach/Holly Hill, Florida",2016,Request Price,Fiberglass,21,Four Winns 210 Horizon,"Aloha Marine Center
   ","Daytona Beach/Holly Hill, FL",2016,Call for Price,Fiberglass
558203,21,Four Winns.210 Horizon,Aloha Marine Internet Sales,"Daytona Beach/Holly Hill, Florida",2016,Request Price,Fiberglass,21,Four Winns H210 SS,"Aloha Marine Center
   ","daytona beach/ holly hill, FL",2016,1,Fiberglass
558218,21,Four Winns.210 Horizon,Aloha Marine Internet Sales,"Daytona Beach/Holly Hill, Florida",2016,Request Price,Fiberglass,21,Four Winns H210SS,"Aloha Marine Center
   ","daytona beach/holly hill, FL",2016,1,Fiberglass
560678,21,Four Winns.210 Horizon,Aloha Marine Internet Sales,"daytona beach/holly hill, Florida",2017,Request Price,Fiberglass,21,Four Winns 210 Horizon,"Aloha Marine Center
   ","daytona beach/holly hill, FL",2017,1,Fiberglass
561105,21,Four Winns.210 Horizon,Legendary Marine Ft. Walton Beach,"Fort Walton Beach, Florida",2009,29900,Fiberglass,21,Four Winns 210 SS,"Legendary Marine
   ","Fort Walton Beach, FL",2009,29900,Fiberglass
561931,21,Four Winns.214 Funship,American Marine,"Venice, Florida",2002,14700,Fiberglass,21,Four Winns 214 Funship,"American Marine
   ","Venice, FL",2002,14700,Fiberglass
563167,21,Four Winns.H210 SS,Aloha Marine Internet Sales,"daytona beach/ holly hill, Florida",2016,Request Price,Fiberglass,21,Four Winns 210 Horizon,"Aloha Marine Center
   ","Daytona Beach/Holly Hill, FL",2016,Call for Price,Fiberglass
563171,21,Four Winns.H210 SS,Aloha Marine Internet Sales,"daytona beach/ holly hill, Florida",2016,Request Price,Fiberglass,21,Four Winns H210 SS,"Aloha Marine Center
   ","daytona beach/ holly hill, FL",2016,1,Fiberglass
564817,21,Four Winns.210 Horizon,Boat Max USA,"Orlando, Florida",2007,14995,Fiberglass,21,Four Winns 210 Horizon,"Boat Max USA
   ","Orlando, FL",2007,14995,Fiberglass
566488,21,Four Winns.H210,Chris Craft Tampa Bay-Suncoast Yacht Sales -,"St Petersburg, Florida",2015,48500,Fiberglass,21,Four Winns H210,"Great Lakes Yacht Sales / Suncoast Yacht Sales / Chris Craft TB
   ","St Petersburg, FL",2015,48500,Fiberglass
566895,21,Four Winns.H210 SS,Great Lakes Yacht Sales / Suncoast Yacht Sales / Chris Craft TB,"Fox Lake, Illinois",2014,52000,Fiberglass,21,Four Winns H210 SS,"Great Lakes Yacht Sales / Suncoast Yacht Sales / Chris Craft TB
   ","Fox Lake, IL",2014,52000,Fiberglass
568649,21,Sea Fox.216 Dc,"Johnston & Mayer Oasis Yachts, LLC","Galveston, Texas",2011,24900,Fiberglass,21,Sea Fox 216 DC,"Johnston & Mayer Oasis Yachts, LLC
   ","Galveston, TX",2011,24900,Fiberglass
568963,21,Four Winns.H210SS,Aloha Marine Internet Sales,"daytona beach/holly hill, Florida",2016,Request Price,Fiberglass,21,Four Winns 210 Horizon,"Aloha Marine Center
   ","Daytona Beach/Holly Hill, FL",2016,Call for Price,Fiberglass
568982,21,Four Winns.H210SS,Aloha Marine Internet Sales,"daytona beach/holly hill, Florida",2016,Request Price,Fiberglass,21,Four Winns H210SS,"Aloha Marine Center
   ","daytona beach/holly hill, FL",2016,1,Fiberglass
570208,21,Four Winns.H210SS,Aloha Marine Internet Sales,"Holly Hill, Florida",2017,Request Price,Fiberglass,21,Four Winns H210SS,"Aloha Marine Center
   ","Holly Hill, FL",2017,1,Fiberglass
581401,21,Hurricane.217 Sundeck,Punta Gorda Yacht Brokers,"Punta Gorda, Florida",2003,9900,Fiberglass,21,Hurricane 217 Sundeck,"Punta Gorda Yacht Brokers
   ","Punta Gorda, FL",2003,9900,Fiberglass
581820,21,Key West.211 Dual Console,National Powerboats,"Jacksonville, Florida",2016,44000,Fiberglass,21,Key West 211 Dual Console,"National Powerboats
   ","Jacksonville, FL",2016,44000,Fiberglass
582235,21,Key West.211 Dual Console,National Powerboats,Jacksonville,2015,39900,Fiberglass,21,Key West 211 Dual Console,"National Powerboats
   ","Jacksonville, United States",2015,39900,Fiberglass
583067,21,Hurricane.SD 2100 OB,"Lowes Marine Sales, Inc.","Marco Island, Florida",2010,25995,Fiberglass,21,Hurricane SD 2100 OB,"Lowe's Boat & Yacht Brokerage
   ","Marco Island, FL",2010,25995,Fiberglass
584800,21,Sea Hunt.21LE,"Shore Point Marina & Yacht Sales, Inc.","Pine Beach, New Jersey",2014,39900,Fiberglass,21,Sea Hunt 21LE,"Shore Point  Marina & Yacht Sales, Inc.
   ","Pine Beach, NJ",2014,39900,Fiberglass
586044,21,Sea Hunt.Escape 211 LE,New Jersey Outboards,"Bayville, New Jersey",2017,Request Price,Fiberglass,21,Sea Hunt Escape 211 LE,"New Jersey Outboards
   ","Bayville, NJ",2017,Call for Price,Fiberglass
586867,21,Sea Hunt.Escape 207 LE,Southpaw Yacht Sales,"GREENWICH, Connecticut",2011,28985,Fiberglass,21,Sea Hunt Escape 207 LE,"Southpaw Yacht Sales
   ","GREENWICH, CT",2011,28985,Fiberglass
587619,21,Key West.211 Dual Console,Sebastian Inlet BoatWorks,United States,2014,29900,Fiberglass,21,Key West 211 Dual Console,"Sebastian Inlet BoatWorks
   ",United States,2014,29900,Fiberglass
