_id,ltable_Length_ft,ltable_make_model,ltable_seller,ltable_location,ltable_year,ltable_price_US,ltable_hull_material,rtable_Length_ft,rtable_make_model,rtable_seller,rtable_location,rtable_year,rtable_price_US,rtable_hull_material
21043,28,Chris-Craft.Launch 28,"Bay Marine of Sturgeon Bay, Inc","Sturgeon Bay, Wisconsin",2009,99000,Fiberglass,28,Chris-Craft Launch 28,"Bay Marine of Sturgeon Bay, Inc
   ","Sturgeon Bay, WI",2009,99000,Fiberglass
21213,28,Chris-Craft.Launch 28,Harborside Yacht Sales,"Clinton, Connecticut",2010,139000,Fiberglass,28,Chris-Craft Launch 28,"Harborside Marina
   ","Clinton, CT",2010,139000,Fiberglass
21378,28,Chris-Craft.Launch 28,Bayport Yachts,"Newport Beach, California",2007,79900,Fiberglass,28,Chris-Craft Launch 28,"Bayport Yachts
   ","Newport Beach, CA",2007,79900,Fiberglass
21550,28,Chris-Craft.Launch 28,Shangri-La Marina,"afton, Oklahoma",2013,129999,Fiberglass,28,Chris-Craft Launch 28,"Shangri-La Marina
   ","afton, OK",2013,129999,Fiberglass
21711,28,Chris-Craft.Launch 28,Grande Yachts International - Deerfield,"Deerfield Beach, Florida",2016,Request Price,Fiberglass,28,Chris-Craft 28 LAUNCH,"Grande Yachts International
   ","Deerfield Beach, FL",2016,Call for Price,Fiberglass
21893,28,Chris-Craft.Launch 28,Viage Group,"Sarasota, Florida",2016,Request Price,Fiberglass,28,Chris-Craft Launch 28,"Viage Group
   ","Sarasota, FL",2016,Call for Price,Fiberglass
22064,28,Chris-Craft.Launch 28,Barrier Island Marine,"Charleston, South Carolina",2016,Request Price,Fiberglass,28,Chris-Craft Launch 28,"Barrier Island Marine
   ","Charleston, SC",2016,1,Fiberglass
22196,28,Chris-Craft.Launch 28,Harborside Yacht Sales,"Clinton, Connecticut",2016,Request Price,Fiberglass,28,Chris Craft Launch 28,"Harborside Marina
   ","Clinton, CT",2016,Call for Price,Fiberglass
22548,28,Chris-Craft.Launch 28,Grande Yachts International - Dania Beach,"Dania Beach, Florida",2017,Request Price,Fiberglass,28,Chris-Craft Launch 28,"Grande Yachts International
   ","Dania Beach, FL",2017,Call for Price,Fiberglass
22715,28,Chris-Craft.Launch 28,North Point Yacht Sales,"Annapolis, Maryland",2004,49900,Fiberglass,28,Chris Craft Launch 28,"North Point Yacht Sales
   ","Annapolis, MD",2004,49900,Fiberglass
22889,28,Chris-Craft.Launch 28,Denison Yacht Sales - Palm Beach,"Lake Vermilion, Minnesota",2006,79900,Fiberglass,28,Chris-Craft Launch 28,"Denison Yacht Sales
   ","Lake Vermilion, MN",2006,79900,Fiberglass
23048,28,Chris-Craft.Launch 28,Dallas Boat Sales,"Lewisville Lake, Texas",2006,72500,Fiberglass,28,Chris-Craft 28 LAUNCH,"Dallas Boat Sales
   ","Lewisville Lake, TX",2006,72500,Fiberglass
23057,28,Chris-Craft.Launch 28,Dallas Boat Sales,"Lewisville Lake, Texas",2006,72500,Fiberglass,28,Chris-Craft Launch 28,"Denison Yacht Sales
   ","Lake Vermilion, MN",2006,79900,Fiberglass
23222,28,Chris-Craft.Launch 28,Chris Craft Tampa Bay-Suncoast Yacht Sales -,"St Petersburg, Florida",2004,57900,Fiberglass,28,Chris-Craft Launch 28,"Great Lakes Yacht Sales / Suncoast Yacht Sales / Chris Craft TB
   ","St Petersburg, FL",2004,57900,Fiberglass
25063,28,Chris-Craft.Launch 28,"Coral Gables Yachts, LLC","Chicago, Illinois",2002,39900,Fiberglass,28,Chris-Craft 28' Launch,"Coral Gables Yachts, LLC
   ","Chicago, IL",2002,39900,Fiberglass
25737,28,Chris-Craft.Launch 28,Walstrom Marine  - Harbor Springs,"Bay Harbor, Michigan",2003,59000,Fiberglass,28,Chris Craft Launch 28,"Walstrom Marine- Harbor Springs
   ","Bay Harbor, MI",2003,59000,Fiberglass
25924,28,Cobalt.282 Bow Rider,"Ozark Yacht Brokers, Inc.","Lake Ozark, Missouri",2003,49900,Fiberglass,28,Cobalt 282 Bow Rider,"Ozark Yacht Brokers, Inc.
   ","Lake Ozark, MO",2003,49900,Fiberglass
28288,28,Crownline.288 BR  Sea Ray,"Admiralty Yacht Sales, Inc.","Delray Beach, Florida",2004,39995,Fiberglass,28,Crownline 288 BR  Sea Ray,"Admiralty Yacht Sales, Inc.
   ","Delray Beach, FL",2004,39995,Fiberglass
28458,28,Formula.280 Bow Rider,Chicago Yacht Works,United States,2005,49900,Fiberglass,28,Formula 280 Bow Rider,"Chicago Yacht Works
   ",United States,2005,49900,Fiberglass
28958,28,Crownline.285 SS,MarineMax Lake Ozark,"Lake Ozark, Missouri",2012,69900,Fiberglass,28,Crownline 285 SS,"MarineMax Inc.
   ","Lake Ozark, MO",2012,69900,Fiberglass
29459,28,Formula.28 Bowrider,All Captains Yacht Sales,"Marco Island, Florida",2007,64900,Fiberglass,28,Formula 28 Bowrider,"All Captains Yacht Sales
   ","Marco Island, FL",2007,64900,Fiberglass
30135,28,Crownline.288 BR,Rudders & Moorings Yacht Sales LLC,"Stratford, Connecticut",2003,24900,Fiberglass,28,Crownline 288 BR,"Rudders & Moorings Yacht Sales, LLC
   ","Stratford, CT",2003,24900,Fiberglass
30653,28,Formula.280 Bowrider,Boat Brokers LKN,"Cornelius, North Carolina",1999,27500,Fiberglass,28,Formula 280 Bowrider,"Boat Brokers LKN
   ","Cornelius, NC",1999,27500,Fiberglass
30986,28,Formula.280 Bowrider,Off The Hook Yacht Sales,"Annapolis, Maryland",2005,32900,Fiberglass,28,Formula 280 Bowrider,"Off The Hook Yacht Sales
   ","Annapolis, MD",2005,32900,Fiberglass
