_id,ltable_index,rtable_index,ltable_Length_ft,ltable_make_model,ltable_seller,ltable_location,ltable_year,rtable_Length_ft,rtable_Make_Model,rtable_seller,rtable_location,rtable_year
23222,821,579,28,Chris-Craft.Launch 28,Chris Craft Tampa Bay-Suncoast Yacht Sales -,"St Petersburg, Florida",2004,28,Chris-Craft Launch 28,"Great Lakes Yacht Sales / Suncoast Yacht Sales / Chris Craft TB
   ","St Petersburg, FL",2004
25063,832,572,28,Chris-Craft.Launch 28,"Coral Gables Yachts, LLC","Chicago, Illinois",2002,28,Chris-Craft 28' Launch,"Coral Gables Yachts, LLC
   ","Chicago, IL",2002
25737,836,574,28,Chris-Craft.Launch 28,Walstrom Marine  - Harbor Springs,"Bay Harbor, Michigan",2003,28,Chris Craft Launch 28,"Walstrom Marine- Harbor Springs
   ","Bay Harbor, MI",2003
25924,837,593,28,Cobalt.282 Bow Rider,"Ozark Yacht Brokers, Inc.","Lake Ozark, Missouri",2003,28,Cobalt 282 Bow Rider,"Ozark Yacht Brokers, Inc.
   ","Lake Ozark, MO",2003
28288,851,605,28,Crownline.288 BR  Sea Ray,"Admiralty Yacht Sales, Inc.","Delray Beach, Florida",2004,28,Crownline 288 BR  Sea Ray,"Admiralty Yacht Sales, Inc.
   ","Delray Beach, FL",2004
28458,852,607,28,Formula.280 Bow Rider,Chicago Yacht Works,United States,2005,28,Formula 280 Bow Rider,"Chicago Yacht Works
   ",United States,2005
28958,855,603,28,Crownline.285 SS,MarineMax Lake Ozark,"Lake Ozark, Missouri",2012,28,Crownline 285 SS,"MarineMax Inc.
   ","Lake Ozark, MO",2012
29459,858,600,28,Formula.28 Bowrider,All Captains Yacht Sales,"Marco Island, Florida",2007,28,Formula 28 Bowrider,"All Captains Yacht Sales
   ","Marco Island, FL",2007
30135,862,604,28,Crownline.288 BR,Rudders & Moorings Yacht Sales LLC,"Stratford, Connecticut",2003,28,Crownline 288 BR,"Rudders & Moorings Yacht Sales, LLC
   ","Stratford, CT",2003
30653,865,618,28,Formula.280 Bowrider,Boat Brokers LKN,"Cornelius, North Carolina",1999,28,Formula 280 Bowrider,"Boat Brokers LKN
   ","Cornelius, NC",1999
30986,867,615,28,Formula.280 Bowrider,Off The Hook Yacht Sales,"Annapolis, Maryland",2005,28,Formula 280 Bowrider,"Off The Hook Yacht Sales
   ","Annapolis, MD",2005
31158,868,619,28,Formula.280 Bowrider,Formula Boats,"Naples, Florida",2005,28,Formula 280 Bowrider,"Formula Boats
   ","Naples, FL",2005
31318,869,611,28,Four Winns.274 Funship Bowrider,Glencove Marina,"Lake Ozark, Missouri",2006,28,Four Winns 274 Funship Bowrider,"Glencove Marina
   ","Lake Ozark, MO",2006
31849,872,638,28,Sea Ray.270 SLX,Bond Boats Florida Yacht Brokers,"Melbourne, Florida",2011,28,Sea Ray 270 SLX,"Bond Boats Florida Yacht Brokers
   ","Melbourne, FL",2011
32005,873,626,28,Monterey.278 Ss,Lake Union Sea Ray (Fife Store),"Fife, Washington",2008,28,Monterey 278 SS,"Lake Union Sea Ray
   ","Fife, WA",2008
32512,876,629,28,Mastercraft.280 STS - Fresh Water (JSS),Great Lakes Yacht Brokers,"Skiatook, Oklahoma",2006,28,Mastercraft 280 STS - Fresh Water (JSS),"Great Lakes Yacht Brokers
   ","Skiatook, OK",2006
33354,881,631,28,Larson.LXi 288,"Easy Sale USA, LLC","Miami, Florida",2012,28,Larson LXi 288,"Easy Sale
   ","Miami, FL",2012
34224,886,661,28,Sea Ray.SLX 280,MarineMax Dallas,"Lewisville, Texas",2017,28,Sea Ray SLX 280,"MarineMax Inc.
   ","Lewisville, TX",2017
34229,886,666,28,Sea Ray.SLX 280,MarineMax Dallas,"Lewisville, Texas",2017,28,Sea Ray SLX 280,"MarineMax Inc.
   ","Lewisville, TX",2017
34405,887,674,28,Sea Ray.SLX 280,MarineMax Norwalk,"Norwalk, Connecticut",2017,28,Sea Ray SLX 280,"MarineMax Inc.
   ","Norwalk, CT",2017
34560,888,661,28,Sea Ray.SLX 280,MarineMax Dallas,"Lewisville, Texas",2017,28,Sea Ray SLX 280,"MarineMax Inc.
   ","Lewisville, TX",2017
34565,888,666,28,Sea Ray.SLX 280,MarineMax Dallas,"Lewisville, Texas",2017,28,Sea Ray SLX 280,"MarineMax Inc.
   ","Lewisville, TX",2017
34745,889,678,28,Sea Ray.SLX 280,MarineMax Long Island,"Lindenhurst, New York",2017,28,Sea Ray SLX 280,"MarineMax Inc.
   ","Lindenhurst, NY",2017
34906,890,671,28,Sea Ray.SLX 280,MarineMax Sarasota,"Sarasota, Florida",2017,28,Sea Ray SLX 280,"MarineMax Inc.
   ","Sarasota, FL",2017
34912,890,677,28,Sea Ray.SLX 280,MarineMax Sarasota,"Sarasota, Florida",2017,28,Sea Ray SLX 280,"MarineMax Inc.
   ","Sarasota, FL",2017
35063,891,660,28,Sea Ray.SLX 280,MarineMax Orlando,"Orlando, Florida",2017,28,Sea Ray SLX 280,"MarineMax Inc.
   ","Orlando, FL",2017
35233,892,662,28,Sea Ray.SLX 280,MarineMax Brick,"Brick, New Jersey",2017,28,Sea Ray SLX 280,"MarineMax Inc.
   ","Brick, NJ",2017
35406,893,667,28,Sea Ray.SLX 280,MarineMax Baltimore,"Baltimore, Maryland",2017,28,Sea Ray SLX 280,"MarineMax Inc.
   ","Baltimore, MD",2017
35571,894,664,28,Sea Ray.SLX 280,MarineMax Grand Lake,"Afton, Oklahoma",2017,28,Sea Ray SLX 280,"MarineMax Inc.
   ","Afton, OK",2017
35751,895,676,28,Sea Ray.SLX 280,MarineMax Branson,"Branson, Missouri",2017,28,Sea Ray SLX 280,"MarineMax Inc.
   ","Branson, MO",2017
35908,896,665,28,Sea Ray.SLX 280,MarineMax Port Clinton,"Port Clinton, Ohio",2017,28,Sea Ray SLX 280,"MarineMax Inc.
   ","Port Clinton, OH",2017
36083,897,672,28,Sea Ray.SLX 280,MarineMax Venice,"Venice, Florida",2017,28,Sea Ray SLX 280,"MarineMax Inc.
   ","Venice, FL",2017
36410,899,663,28,Sea Ray.SLX 280,MarineMax Cumming,"Cumming, Georgia",2017,28,Sea Ray SLX 280,"MarineMax Inc.
   ","Cumming, GA",2017
36586,900,671,28,Sea Ray.SLX 280,MarineMax Sarasota,"Sarasota, Florida",2017,28,Sea Ray SLX 280,"MarineMax Inc.
   ","Sarasota, FL",2017
36592,900,677,28,Sea Ray.SLX 280,MarineMax Sarasota,"Sarasota, Florida",2017,28,Sea Ray SLX 280,"MarineMax Inc.
   ","Sarasota, FL",2017
36763,901,680,28,Sea Ray.SLX 280,MarineMax Clearwater,"Clearwater, Florida",2017,28,Sea Ray SLX 280,"MarineMax Inc.
   ","Clearwater, FL",2017
36897,902,646,28,Sea Ray.280 SLX,MarineMax Dallas,"Lewisville, Texas",2016,28,Sea Ray 280 SLX,"MarineMax Inc.
   ","Lewisville, TX",2016
37059,903,640,28,Sea Ray.280 Sundeck,MarineMax Warwick,"Warwick, Rhode Island",2014,28,Sea Ray 280 Sundeck,"MarineMax Inc.
   ","Warwick, RI",2014
37232,904,645,28,Sea Ray.280 SLX,MarineMax Russo Danvers,"Danvers, Massachusetts",2016,28,Sea Ray 280 SLX,"MarineMax Inc.
   ","Danvers, MA",2016
37399,905,644,28,Sea Ray.280 SLX,MarineMax Lake Hopatcong,"Lake Hopatcong, New Jersey",2016,28,Sea Ray 280 SLX,"MarineMax Inc.
   ","Lake Hopatcong, NJ",2016
37571,906,648,28,Sea Ray.280 SLX,MarineMax Naples,"Naples, Florida",2016,28,Sea Ray 280 SLX,"MarineMax Inc.
   ","Naples, FL",2016
38074,909,647,28,Sea Ray.280 SELECT,MarineMax Sarasota,"Sarasota, Florida",2016,28,Sea Ray 280 SELECT,"MarineMax Inc.
   ","Sarasota, FL",2016
38268,910,673,28,Sea Ray.SLX 280,Irish Boat Shop - Harbor Springs,"Northern, Michigan",2017,28,Sea Ray SLX 280,"Irish Boat Shop
   ","Northern, MI",2017
38420,911,657,28,Sea Ray.280 Sundeck,MarineMax Naples,"Naples, Florida",2011,28,Sea Ray 280 Sundeck,"MarineMax Inc.
   ","Naples, FL",2011
38574,912,643,28,Sea Ray.280 SLX,MarineMax Buford,"Buford, Georgia",2016,28,Sea Ray 280 SLX,"MarineMax Inc.
   ","Buford, GA",2016
38740,913,641,28,Sea Ray.280 SLX,MarineMax Grand Lake,"Afton, Oklahoma",2016,28,Sea Ray 280 SLX,"MarineMax Inc.
   ","Afton, OK",2016
38920,914,653,28,Sea Ray.280 Sundeck,MarineMax Naples,"Naples, Florida",2013,28,Sea Ray 280 Sundeck,"MarineMax Inc.
   ","Naples, FL",2013
39093,915,658,28,Sea Ray.280 Sundeck,MarineMax Orlando,"Orlando, Florida",2011,28,Sea Ray 280 Sundeck,"MarineMax Inc.
   ","Orlando, FL",2011
40076,921,633,28,Sea Ray.280 Bow Rider,South River Yacht Sales Inc.,"Harrison Township, Michigan",2000,28,Sea Ray 280 Bow Rider,"South River Yacht Sales Inc.
   ","Harrison Township, MI",2000
40745,925,630,28,Sea Ray.280 Bow Rider,Cape Regal Yachts & Ship,"Fort Myers Cape Coral Naples, Florida",1997,28,Sea Ray 280 Bow Rider,"Cape Regal Yachts & Ship
   ","Fort Myers Cape Coral Naples, FL",1997
40915,926,632,28,Sea Ray.280 Bow Rider,East Shore Marine,"Long Island, New York",2001,28,Sea Ray 280 Bow Rider,"East Shore Marine
   ","Long Island, NY",2001
41103,927,652,28,Sea Ray.280 Sundeck,MarineMax Lake Hopatcong,"Lake Hopatcong, New Jersey",2010,28,Sea Ray 280 Sundeck,"MarineMax Inc.
   ","Lake Hopatcong, NJ",2010
41424,929,637,28,Sea Ray.280 Bowrider,Green Turtle Bay Yacht Sales,"Grand Rivers, Kentucky",1997,28,Sea Ray 280 Bowrider,"Green Turtle Bay Yacht Sales
   ","Grand Rivers, KY",1997
41577,930,622,28,Regal.2700 Regal,Sheltered Cove Marina,United States,2017,28,Regal 2800,"Sheltered Cove Marina
   ","Tuckerton, United States",2017
41580,930,625,28,Regal.2700 Regal,Sheltered Cove Marina,United States,2017,28,Regal 2700,"Sheltered Cove Marina
   ",United States,2017
42431,935,636,28,Regal.2800 Bowrider,Sundance Jensen,"Stuart/Jensen Beach, Florida",2017,28,Regal 2800 Bowrider,"Sundance Marine USA
   ","Stuart/Jensen Beach, FL",2017
43263,940,628,28,Regal.2800 Bowrider,Alexander Marine USA Inc,"Seattle, Washington",2017,28,Regal 2800 Bowrider,"Alexander Marine USA Inc
   ","Seattle, WA",2017
43946,944,639,28,Regal.2800 Bowrider,Sundance Jensen,"Jensen Beach , Florida",2016,28,Regal 2800 Bowrider,"Sundance Marine USA
   ","Jensen Beach , FL",2016
44782,949,635,28,Rinker.282 Captiva Bowrider,Bluewater Yacht Sales-Baltimore Office,"Ocean City, Maryland",2007,28,Rinker 282 Captiva Bowrider,"Bluewater Yacht Sales
   ","Ocean City, MD",2007
45509,953,690,28,Chris-Craft.Launch 28,Saba Marine,"Colchester, Vermont",2016,28,Chris-Craft Launch 28,"Saba Marine
   ","Colchester, VT",2016
45674,954,687,28,Chris-Craft.Launch 28,Great Lakes Yacht Sales / Suncoast Yacht Sales / Chris Craft TB,"Kenosha, Wisconsin",2015,28,Chris-Craft Launch 28,"Great Lakes Yacht Sales / Suncoast Yacht Sales / Chris Craft TB
   ","Kenosha, WI",2015
45840,955,685,28,Chris-Craft.Launch 28,Barrier Island Marine,"Beaufort, South Carolina",2015,28,Chris-Craft Launch 28,"Barrier Island Marine
   ","Beaufort, SC",2015
46161,957,670,28,Sleekcraft.Enforcer 28,Platinum Marine,"SAN ANTONIO, Texas",2001,28,Sleekcraft Enforcer 28,"Platinum Marine
   ","SAN ANTONIO, TX",2001
48027,5,50,35,Formula Boats.350 Crossover Bowrider,Glencove Marina,"Lake Ozark, Missouri",2015,35,Formula Boats 350 Crossover Bowrider,"Glencove Marina
   ","Lake Ozark, MO",2015
48326,20,34,35,Formula.350 Crossover Bowrider,Gulf Coast Boat Sales,"Naples, Florida",2017,35,Formula 350 Crossover Bowrider,"Gulf Coast Boat Sales & Yacht Management
   ","Naples, FL",2017
48517,25,36,35,Formula.350 Crossover Bowrider,Dry Harbour Marine,United States,2017,35,Formula 350 Crossover Bowrider,"Sales at Dry Harbour Marine
   ",United States,2017
48703,28,33,35,Formula.350 Crossover Bowrider,Chicago Yacht Works,United States,2017,35,Formula 350 Crossover Bowrider,"Chicago Yacht Works
   ",United States,2017
48779,29,46,35,Formula.350 Crossover Bowrider,Lakeside Formula,"St. Clair Shores, Michigan",2017,35,Formula 350 Crossover Bowrider,"Lakeside Formula
   ","St. Clair Shores, MI",2017
48963,32,41,35,Formula.350 Crossover Bowrider,Gulf Coast Boat Sales,"Fort Myers, Florida",2015,35,Formula 350 Crossover Bowrider,"Gulf Coast Boat Sales & Yacht Management
   ","Fort Myers, FL",2015
49030,33,45,35,Formula.350 Crossover Bowrider,"Shipyard Marine, Inc","Green Bay, Wisconsin",2014,35,Formula 350 Crossover Bowrider,"Shipyard Marine, Inc
   ","Green Bay, WI",2014
49090,34,42,35,Formula.350 Crossover Bowrider,Gulf Coast Boat Sales,"Naples, Florida",2016,35,Formula 350 Crossover Bowrider,"Gulf Coast Boat Sales & Yacht Management
   ","Naples, FL",2016
49149,35,38,35,Formula.350 Crossover Bowrider,The Nautic Group,"Kemah, Texas",2016,35,Formula 350 Crossover Bowrider,"The Nautic Group
   ","Kemah, TX",2016
49206,36,31,35,Formula.350 Crossover Bowrider,"IMG of Tampa Bay, Inc","St. Petersburg, Florida",2016,35,Formula 350 Crossover Bowrider,"IMG of Tampa Bay, Inc
   ","St. Petersburg, FL",2016
49337,38,37,35,Formula.350 Crossover Bow Rider,Comstock Yacht Sales & Marina,"Brick, New Jersey",2016,35,Formula 350 Crossover Bow Rider,"Comstock Yacht Sales & Marina
   ","Brick, NJ",2016
49398,39,35,35,Formula.350 CBR FX6,Gulf Coast Boat Sales,"Naples, Florida",2014,35,Formula 350 CBR FX6,"Gulf Coast Boat Sales & Yacht Management
   ","Naples, FL",2014
49613,42,61,35,Four Winns.H350,Westchester Yacht Sales,"Mamaroneck, New York",2016,35,Four Winns H350,"Westchester Yacht Sales
   ","Mamaroneck, NY",2016
49664,43,49,35,Four Winns.H350,Mar Azul Marine Group,"Miami, Florida",2016,35,Four Winns H350,"Mar Azul Marine Group
   ","Miami, FL",2016
49860,46,56,35,Four Winns.H350,Boater's Landing,"Ft.Myers, Florida",2017,35,Four Winns H350,"Boater's Landing
   ","Ft.Myers, FL",2017
49973,48,43,35,Formula.350 Sun Sport,Gulf Coast Boat Sales,"Cape Coral, Florida",2013,35,Formula 350 Sun Sport,"Gulf Coast Boat Sales & Yacht Management
   ","Cape Coral, FL",2013
50040,49,47,35,Formula.350 Crossover Bowrider,Formula Boats of Missouri,"Osage Beach, Missouri",2013,35,Formula 350 Crossover Bowrider,"Formula Boats of Missouri
   ","Osage Beach, MO",2013
50095,50,39,35,Formula.350 Bow Rider,Formula Boats of Missouri,"Osage Beach, Missouri",2013,35,Formula 350 Bow Rider,"Formula Boats of Missouri
   ","Osage Beach, MO",2013
50201,51,82,35,Sea Ray.SLX 350,MarineMax Ft. Myers,"Ft. Myers, Florida",2017,35,Sea Ray SLX 350,"MarineMax Inc.
   ","Ft. Myers, FL",2017
50271,52,92,35,Sea Ray.SLX 350,MarineMax Lake Ozark,"Lake Ozark, Missouri",2017,35,Sea Ray SLX 350,"MarineMax Inc.
   ","Lake Ozark, MO",2017
50330,53,85,35,Sea Ray.SLX 350,MarineMax Dallas,"Lewisville, Texas",2017,35,Sea Ray SLX 350,"MarineMax Inc.
   ","Lewisville, TX",2017
50356,54,48,35,Formula.350 Crossover Bowrider,Borden & Associates Yacht Sales,"Marco Island, Florida",2014,35,Formula 350 Crossover Bowrider,"Borden & Associates Yacht Sales
   ","Marco Island, FL",2014
50441,55,70,35,Sea Ray.350 SLX,MarineMax Grand Lake,"Afton, Oklahoma",2016,35,Sea Ray 350 SLX,"MarineMax Inc.
   ","Afton, OK",2016
50514,56,80,35,Sea Ray.350 SLX,MarineMax Pompano,"Pompano Beach, Florida",2016,35,Sea Ray 350 SLX,"MarineMax Inc.
   ","Pompano Beach, FL",2016
50563,57,66,35,Sea Ray.350 SLX,MarineMax Miami,"Miami, Florida",2016,35,Sea Ray 350 SLX,"MarineMax Inc.
   ","Miami, FL",2016
50617,58,57,35,Sea Ray.350 SLX,MarineMax Ft. Myers,"Ft. Myers, Florida",2016,35,Sea Ray 350 SLX,"MarineMax Inc.
   ","Ft. Myers, FL",2016
50865,62,53,35,Sea Ray.350 SELECT,MarineMax Norwalk,"Norwalk, Connecticut",2016,35,Sea Ray 350 SELECT,"MarineMax Inc.
   ","Norwalk, CT",2016
50938,63,63,35,Sea Ray.350 SLX,MarineMax Sarasota,"Sarasota, Florida",2016,35,Sea Ray 350 SLX,"MarineMax Inc.
   ","Sarasota, FL",2016
51065,65,64,35,Sea Ray.350 SLX,MarineMax Stuart,"Stuart, Florida",2016,35,Sea Ray 350 SLX,"MarineMax Inc.
   ","Stuart, FL",2016
51126,66,62,35,Sea Ray.350 SLX,MarineMax Long Island,"Lindenhurst, New York",2016,35,Sea Ray 350 SLX,"MarineMax Inc.
   ","Lindenhurst, NY",2016
51187,67,60,35,Sea Ray.350 SLX,MarineMax Warwick,"Warwick, Rhode Island",2016,35,Sea Ray 350 SLX,"MarineMax Inc.
   ","Warwick, RI",2016
51259,68,69,35,Sea Ray.350 SLX,MarineMax Dallas,"Lewisville, Texas",2016,35,Sea Ray 350 SLX,"MarineMax Inc.
   ","Lewisville, TX",2016
51330,69,77,35,Sea Ray.350 SLX,MarineMax Ship Bottom,"Ship Bottom, New Jersey",2016,35,Sea Ray 350 SLX,"MarineMax Inc.
   ","Ship Bottom, NJ",2016
51389,70,73,35,Sea Ray.350 SLX,MarineMax Baltimore,"Baltimore, Maryland",2016,35,Sea Ray 350 SLX,"MarineMax Inc.
   ","Baltimore, MD",2016
51753,76,59,35,Sea Ray.350 SELECT,MarineMax Naples,"Naples, Florida",2014,35,Sea Ray 350 SELECT,"MarineMax Inc.
   ","Naples, FL",2014
51875,78,55,35,Sea Ray.350 SELECT,MarineMax Wrightsville Beach,"Wrightsville Beach, North Carolina",2014,35,Sea Ray 350 SELECT,"MarineMax Inc.
   ","Wrightsville Beach, NC",2014
51950,79,67,35,Sea Ray.350 SELECT,MarineMax Lake Ozark,"Lake Ozark, Missouri",2014,35,Sea Ray 350 SELECT,"MarineMax Inc.
   ","Lake Ozark, MO",2014
52022,80,76,35,Sea Ray.350 SLX,Strong's Marine- Port Washington,"Port Washington, New York",2015,35,Sea Ray 350 SLX,"Strong's Marine
   ","Port Washington, NY",2015
52063,81,54,35,Sea Ray.350 SELECT,MarineMax Sarasota,"Sarasota, Florida",2015,35,Sea Ray 350 SELECT,"MarineMax Inc.
   ","Sarasota, FL",2015
52140,82,68,35,Sea Ray.350 SLX,"B & E Marine, Inc.","Michigan City, Indiana",2015,35,Sea Ray 350 SLX,"B & E Marine, Inc.
   ","Michigan City, IN",2015
52203,83,68,35,Sea Ray.350 SLX,B & E Marine,"Michigan City, Indiana",2015,35,Sea Ray 350 SLX,"B & E Marine, Inc.
   ","Michigan City, IN",2015
52289,84,94,35,Sea Ray.350 SLX,Modern Yachts,"Westhampton Beach, New York",2017,35,Sea Ray 350 SLX,"Modern Yachts
   ","Westhampton Beach, NY",2017
