index,used,power,price_US,year,class,hull_material,seller,Length_ft,location,make_model,
1,yes,yes,84900,2014,Bowrider,Fiberglass,James Boatright,28,"Jupiter, Florida",Sea Ray.270 SLX,
2,yes,yes,93995,2004,Bowrider,Fiberglass,Village Marina & Yacht Club,35,United States,Cobalt.343,
3,yes,yes,498900,2015,Bowrider,Fiberglass,Dave Bofill,36,New York,Chris-Craft.36 Launch,
4,yes,yes,Request Price,2017,Bowrider,Fiberglass,Village Marina & Yacht Club,35,United States,Cobalt.R35,
5,yes,yes,299900,2015,Bowrider,Fiberglass,Glencove Marina,35,"Lake Ozark, Missouri",Formula Boats.350 Crossover Bowrider,
6,yes,yes,Request Price,2017,Bowrider,Fiberglass,Clinton Marine,35,"Weldon, Illinois",Cobalt.R35,
7,yes,yes,39500,1998,Bowrider,Fiberglass,Port Gardner Yacht Brokerage,35,"Anacortes, Washington",Bounty.35,
8,yes,yes,497000,2015,Bowrider,Fiberglass,Harborside Yacht Sales,36,Connecticut,Chris-Craft.Launch 36,
9,yes,yes,84900,2005,Bowrider,Other,POP Yachts,36,"Climax Springs, Missouri",Envision.Legacy 3600 ESP,
10,yes,yes,Request Price,2017,Bowrider,Fiberglass,Harborside Yacht Sales,36,"Clinton, Connecticut",Chris-Craft.Launch 36,
11,yes,yes,Request Price,2017,Bowrider,Fiberglass,Bob Hewes Boats,37,"miami, Florida",Monterey.378SS,
12,yes,yes,Request Price,2017,Bowrider,Fiberglass,Bob Hewes Boats,37,Florida,Monterey.378SS,
13,yes,yes,Request Price,2017,Bowrider,Fiberglass,Bob Hewes Boats,37,United States,Monterey.378SS,
14,yes,yes,Request Price,2017,Bowrider,Fiberglass,Formula Boats,35,,Formula.350 Crossover Bowrider,
15,yes,yes,Request Price,2016,Bowrider,Fiberglass,TriToon Town,37,"Osage Beach, Missouri",Monterey.378SE,
16,yes,yes,19995,2012,Bowrider,Composite,Matt Heikkinen,19,"Houghton, Michigan",Bayliner.Flight Series 185,
17,yes,yes,Request Price,2017,Bowrider,Fiberglass,Formula Boats,35,,Formula.350 FX Crossover Bowrider,
18,yes,yes,28000,2011,Bowrider,Fiberglass,Claus Jepsen,21,"Chapel Hill, North Carolina",Stingray.215 LR,
19,yes,yes,37500,2012,Bowrider,Composite,michael strasser,24,"port orange, Florida",Yamaha.242 Limited,
20,yes,yes,407730,2017,Bowrider,Fiberglass,Gulf Coast Boat Sales,35,"Naples, Florida",Formula.350 Crossover Bowrider,
21,yes,yes,26500,2005,Bowrider,Fiberglass,Thomas Petersen,24,"Bumpass, Virginia",Sea Ray.220,
22,yes,yes,17950,2008,Bowrider,Fiberglass,John Milford,23,"St Petersburg, Florida",Larson.LXi 228,
23,yes,yes,Request Price,2016,Bowrider,Fiberglass,Marine Tech Concepts,35,"Port Clinton, Ohio",Formula.350 Crossover Bowrider,
24,yes,yes,Request Price,2017,Bowrider,Fiberglass,Rhode River Boat Sales,35,"Edgewater, Maryland",Formula.350 CBR,
25,yes,yes,319000,2017,Bowrider,Fiberglass,Dry Harbour Marine,35,United States,Formula.350 Crossover Bowrider,
26,yes,yes,269500,2014,Bowrider,Fiberglass,Grand Lake Boat Sales LLC,35,"Eucha, Oklahoma",Formula.350 Crossover Bowrider,
27,yes,yes,Request Price,2016,Bowrider,Fiberglass,Marine Tech Concepts,35,"Port Clinton, Ohio",Formula.350 Crossover Bowrider,
28,yes,yes,407726,2017,Bowrider,Fiberglass,Chicago Yacht Works,35,United States,Formula.350 Crossover Bowrider,
29,yes,yes,Request Price,2017,Bowrider,Fiberglass,Lakeside Formula,35,"St. Clair Shores, Michigan",Formula.350 Crossover Bowrider,
30,yes,yes,Request Price,2016,Bowrider,Fiberglass,Rhode River Boat Sales,35,"Egewater, Maryland",Formula.350 Crossover Bowrider,
31,yes,yes,349000,2016,Bowrider,Fiberglass,Power Yachts International,35,"Cape Coral, Florida",Formula.350 Crossover Bowrider,
32,yes,yes,299900,2015,Bowrider,Fiberglass,Gulf Coast Boat Sales,35,"Fort Myers, Florida",Formula.350 Crossover Bowrider,
33,yes,yes,249850,2014,Bowrider,Fiberglass,"Shipyard Marine, Inc",35,"Green Bay, Wisconsin",Formula.350 Crossover Bowrider,
34,yes,yes,Request Price,2016,Bowrider,Fiberglass,Gulf Coast Boat Sales,35,"Naples, Florida",Formula.350 Crossover Bowrider,
35,yes,yes,Request Price,2016,Bowrider,Fiberglass,The Nautic Group,35,"Kemah, Texas",Formula.350 Crossover Bowrider,
36,yes,yes,Request Price,2016,Bowrider,Fiberglass,"IMG of Tampa Bay, Inc",35,"St. Petersburg, Florida",Formula.350 Crossover Bowrider,
37,yes,yes,Request Price,2016,Bowrider,Fiberglass,South Austin Marine Corp,35,"Austin, Texas",Formula.350 CBR,
38,yes,yes,259000,2016,Bowrider,Fiberglass,Comstock Yacht Sales & Marina,35,"Brick, New Jersey",Formula.350 Crossover Bow Rider,
39,yes,yes,254900,2014,Bowrider,Fiberglass,Gulf Coast Boat Sales,35,"Naples, Florida",Formula.350 CBR FX6,
40,yes,yes,Request Price,2016,Bowrider,Other,Skipper Bud's - Lake Geneva,35,"Walworth, Wisconsin",Four Winns.350H,
41,yes,yes,Request Price,2017,Bowrider,Other,Skipper Bud's Belle Maer Harbor,35,"Harrison Township, Michigan",Four Winns.350H,
42,yes,yes,Request Price,2016,Bowrider,Fiberglass,Westchester Yacht Sales,35,"Mamaroneck, New York",Four Winns.H350,
43,yes,yes,199000,2016,Bowrider,Fiberglass,Mar Azul Marine Group,35,"Miami, Florida",Four Winns.H350,
44,yes,yes,Request Price,2016,Bowrider,Fiberglass,Four Winns,35,,Four Winns.H350,
45,yes,yes,322310,2017,Bowrider,Fiberglass,Wayzata Marine,35,"Wayzata, Minnesota",Four Winns.H350,
46,yes,yes,Request Price,2017,Bowrider,Fiberglass,Boater's Landing,35,"Ft.Myers, Florida",Four Winns.H350,
47,yes,yes,249900,2013,Bowrider,Fiberglass,Tahoe Vista Sports,35,"Tahoe Vista, California",Formula.350 Crossover Bowrider,
48,yes,yes,225000,2013,Bowrider,Fiberglass,Gulf Coast Boat Sales,35,"Cape Coral, Florida",Formula.350 Sun Sport,
49,yes,yes,249995,2013,Bowrider,Fiberglass,Formula Boats of Missouri,35,"Osage Beach, Missouri",Formula.350 Crossover Bowrider,
50,yes,yes,229900,2013,Bowrider,Fiberglass,Formula Boats of Missouri,35,"Osage Beach, Missouri",Formula.350 Bow Rider,
51,yes,yes,Request Price,2017,Bowrider,Fiberglass,MarineMax Ft. Myers,35,"Ft. Myers, Florida",Sea Ray.SLX 350,
52,yes,yes,Request Price,2017,Bowrider,Fiberglass,MarineMax Lake Ozark,35,"Lake Ozark, Missouri",Sea Ray.SLX 350,
53,yes,yes,Request Price,2017,Bowrider,Fiberglass,MarineMax Dallas,35,"Lewisville, Texas",Sea Ray.SLX 350,
54,yes,yes,279000,2014,Bowrider,Fiberglass,Borden & Associates Yacht Sales,35,"Marco Island, Florida",Formula.350 Crossover Bowrider,
55,yes,yes,Request Price,2016,Bowrider,Fiberglass,MarineMax Grand Lake,35,"Afton, Oklahoma",Sea Ray.350 SLX,
56,yes,yes,Request Price,2016,Bowrider,Fiberglass,MarineMax Pompano,35,"Pompano Beach, Florida",Sea Ray.350 SLX,
57,yes,yes,Request Price,2016,Bowrider,Fiberglass,MarineMax Miami,35,"Miami, Florida",Sea Ray.350 SLX,
58,yes,yes,Request Price,2016,Bowrider,Fiberglass,MarineMax Ft. Myers,35,"Ft. Myers, Florida",Sea Ray.350 SLX,
59,yes,yes,Request Price,2016,Bowrider,Other,SkipperBud's - Grand Haven,35,"Grand Haven, Michigan",Sea Ray.350 SLX,
60,yes,yes,Request Price,2016,Bowrider,Other,Skipper Bud's Pewaukee,35,"Pewaukee, Wisconsin",Sea Ray.350 SLX,
61,yes,yes,Request Price,2016,Bowrider,Other,Skipper Bud's Madison,35,"Madison, Wisconsin",Sea Ray.350 SLX,
62,yes,yes,268905,2016,Bowrider,Fiberglass,MarineMax Norwalk,35,"Norwalk, Connecticut",Sea Ray.350 SELECT,
63,yes,yes,Request Price,2016,Bowrider,Fiberglass,MarineMax Sarasota,35,"Sarasota, Florida",Sea Ray.350 SLX,
64,yes,yes,Request Price,2016,Bowrider,Fiberglass,St. Petersburg,35,"St. Petersburg, Florida",Sea Ray.350 SLX,
65,yes,yes,Request Price,2016,Bowrider,Fiberglass,MarineMax Stuart,35,"Stuart, Florida",Sea Ray.350 SLX,
66,yes,yes,Request Price,2016,Bowrider,Fiberglass,MarineMax Long Island,35,"Lindenhurst, New York",Sea Ray.350 SLX,
67,yes,yes,Request Price,2016,Bowrider,Fiberglass,MarineMax Warwick,35,"Warwick, Rhode Island",Sea Ray.350 SLX,
68,yes,yes,Request Price,2016,Bowrider,Fiberglass,MarineMax Dallas,35,"Lewisville, Texas",Sea Ray.350 SLX,
69,yes,yes,Request Price,2016,Bowrider,Fiberglass,MarineMax Ship Bottom,35,"Ship Bottom, New Jersey",Sea Ray.350 SLX,
70,yes,yes,Request Price,2016,Bowrider,Fiberglass,MarineMax Baltimore,35,"Baltimore, Maryland",Sea Ray.350 SLX,
71,yes,yes,Request Price,2016,Bowrider,Other,Smith Boys of North Tonawanda,35,"N Tonawanda, New York",Sea Ray.350 SLX,
72,yes,yes,Request Price,2017,Bowrider,Fiberglass,Sea Ray Boats Inc.,35,,Sea Ray.SLX 350 OB,
73,yes,yes,Request Price,2017,Bowrider,Fiberglass,Newport Beach,35,"Newport Beach, California",Sea Ray.SLX 350,
74,yes,yes,149900,2008,Bowrider,Fiberglass,East Coast Flightcraft Inc.-Middleton,35,"Middleton, Massachusetts",Cobalt.323,
75,yes,yes,Request Price,2017,Bowrider,Fiberglass,Sea Ray Boats Inc.,35,,Sea Ray.SLX 350,
76,yes,yes,259000,2014,Bowrider,Fiberglass,MarineMax Naples,35,"Naples, Florida",Sea Ray.350 SELECT,
77,yes,yes,239995,2015,Bowrider,Fiberglass,Modern Yachts,35,New York,Sea Ray.350 SLX,
78,yes,yes,230365,2014,Bowrider,Fiberglass,MarineMax Wrightsville Beach,35,"Wrightsville Beach, North Carolina",Sea Ray.350 SELECT,
79,yes,yes,224900,2014,Bowrider,Fiberglass,MarineMax Lake Ozark,35,"Lake Ozark, Missouri",Sea Ray.350 SELECT,
80,yes,yes,239995,2015,Bowrider,Fiberglass,Strong's Marine- Port Washington,35,"Port Washington, New York",Sea Ray.350 SLX,
81,yes,yes,279900,2015,Bowrider,Fiberglass,MarineMax Sarasota,35,"Sarasota, Florida",Sea Ray.350 SELECT,
82,yes,yes,Request Price,2015,Bowrider,Fiberglass,"B & E Marine, Inc.",35,"Michigan City, Indiana",Sea Ray.350 SLX,
83,yes,yes,Request Price,2015,Bowrider,Fiberglass,B & E Marine,35,"Michigan City, Indiana",Sea Ray.350 SLX,
84,yes,yes,Request Price,2017,Bowrider,Fiberglass,Modern Yachts,35,"Westhampton Beach, New York",Sea Ray.350 SLX,
85,yes,yes,279900,2016,Bowrider,Fiberglass,Ludington Yacht Sales,35,"SPRING LAKE, Michigan",Sea Ray.350 SLX,
86,yes,yes,Request Price,2016,Bowrider,Fiberglass,Sail & Ski Center,35,"Austin, Texas",Sea Ray.350 SLX,
87,yes,yes,149900,2014,Bowrider,Fiberglass,Kelly's Port,34,"Osage Beach, Missouri",Regal.3200 Bowrider,
88,yes,yes,249000,2015,Bowrider,Fiberglass,Newport Beach,35,"Newport Beach, California",Sea Ray.350 SLX,
89,yes,yes,179000,2016,Bowrider,Other,Kelly's Port,34,"Osage Beach, Missouri",Regal.3200,
90,yes,yes,139900,2013,Bowrider,Fiberglass,Kelly's Port,34,"Osage Beach, Missouri",Regal.3200 Bowrider,
91,yes,yes,64999,2000,Bowrider,Fiberglass,MarineMax Newport,34,"Wakefield, Rhode Island",Sea Ray.340 Sundancer,
92,yes,yes,239900,2015,Bowrider,Fiberglass,Gordy's Lakefront Marine,34,"Fontana, Wisconsin",Cobalt.336,
93,yes,yes,Request Price,2016,Bowrider,Fiberglass,Boat Rack Chaparral Boat Showroom,34,"Sherrills Ford, North Carolina",Chaparral.337 SSX,
94,yes,yes,26900,1988,Bowrider,Fiberglass,Krenzer Marine,34,"Sodus Point, New York",Sea Ray.340 Express Cruiser,
95,yes,yes,407955,2017,Bowrider,Fiberglass,Grand Lake Boat Sales LLC,34,"Eucha, Oklahoma",Formula.330 CBR,
96,yes,yes,Request Price,2016,Bowrider,Fiberglass,Wayzata Marine,34,"Wayzata, Minnesota",Chris-Craft.32 Launch,
97,yes,yes,Request Price,2016,Bowrider,Fiberglass,Wayzata Marine,34,"Wayzata, Minnesota",Chaparral.ALL NEW 337 SSX,
98,yes,yes,Request Price,2016,Bowrider,Fiberglass,Nichols Marine- Monkey Island,34,"Monkey Island, Oklahoma",Chaparral.337 SSX,
99,yes,yes,259995,2015,Bowrider,Fiberglass,Marine Tech Concepts,35,"Port Clinton, Ohio",Sea Ray.350 SLX,
100,yes,yes,Request Price,2017,Bowrider,Fiberglass,Atlanta Marine,34,"Flowery Branch, Georgia",Chaparral.337 SSX,
101,yes,yes,93440,2017,Bowrider,Fiberglass,Bates Wharf - Surrey Head Office,34,Coming to the UK soon...,Chris-Craft.Launch 32 Heritage Edition,
102,yes,yes,259900,2015,Bowrider,Fiberglass,Chicago Yacht Works,35,United States,Sea Ray.350 SLX,
103,yes,yes,Request Price,2017,Bowrider,Fiberglass,Top Notch Marine - Melbourne,33,"Melbourne, Florida",Cobalt.336,
104,yes,yes,Request Price,2016,Bowrider,Fiberglass,Pennybridge Marine,33,"Stony Point, New York",Chaparral.337 SSX,
105,yes,yes,Request Price,2017,Bowrider,Fiberglass,Amity Harbor Marine Inc,33,"Amityville, New York",Chaparral.337 SSX,
106,yes,yes,Request Price,2016,Bowrider,Fiberglass,Top Notch Marine - Melbourne,33,"Melbourne, Florida",Cobalt.336,
107,yes,yes,Request Price,2017,Bowrider,Fiberglass,"Top Notch Marine, Inc.",33,"Fort Pierce, Florida",Cobalt.336,
108,yes,yes,164900,2006,Bowrider,Fiberglass,Horizon Motorsports,33,"LAKE HAVASU CITY, Arizona",Eliminator Boats.33 Daytona,
109,yes,yes,Request Price,2016,Bowrider,Fiberglass,Chaparral Boats,34,,Chaparral.337 SSX,
110,yes,yes,Request Price,2016,Bowrider,Fiberglass,Pier 33,34,"St. Joseph, Michigan",Chaparral.337 SSX,
111,yes,yes,Request Price,2017,Bowrider,Fiberglass,Waterfront Marine-Maryland,34,"Edgewater, Maryland",Chaparral.337 SSX,
112,yes,yes,289000,2013,Bowrider,Fiberglass,Bluewater Yacht Sales-Baltimore Office,34,"Baltimore, Maryland",Regulator.34SS,
113,yes,yes,Request Price,2017,Bowrider,Fiberglass,Waterfront Marine Yacht Sales,34,"SOMERS POINT, New Jersey",Chaparral.337 SSX,
114,yes,yes,Request Price,2016,Bowrider,Fiberglass,Tom George Yacht Group,33,"Dunedin, Florida",Cobalt.336,
115,yes,yes,Request Price,2016,Bowrider,Fiberglass,Anchor Marine,33,"Farmingdale, New Jersey",Chaparral.337SSX,
116,yes,yes,Request Price,2016,Bowrider,Fiberglass,The Boat House of Naples,33,"Naples, Florida",Cobalt.336,
117,yes,yes,Request Price,2017,Bowrider,Fiberglass,Comstock Yacht Sales & Marina,33,"Brick, New Jersey",Formula.330 Crossover Bowrider,
118,yes,yes,Request Price,2017,Bowrider,Fiberglass,Formula Boats,33,,Formula.330 FX Crossover Bowrider,
119,yes,yes,Request Price,2017,Bowrider,Fiberglass,Lakeside Formula,33,Michigan,Formula.330 CBR,
120,yes,yes,Request Price,2017,Bowrider,Fiberglass,Lakeside Formula,33,United States,Formula.330 CBR,
121,yes,yes,Request Price,2016,Bowrider,Fiberglass,Top Notch Marine - Pompano,33,"Pompano, Florida",Cobalt.336,
122,yes,yes,Request Price,2017,Bowrider,Fiberglass,Formula Boats,33,,Formula.330 Crossover Bowrider,
123,yes,yes,Request Price,2017,Bowrider,Fiberglass,Top Notch Marine - Pompano,33,"Pompano, Florida",Cobalt.336,
124,yes,yes,Request Price,2016,Bowrider,Fiberglass,Staten Island Office,33,"Staten Island, New York",Cruisers.338 Bow Rider,
125,yes,yes,Request Price,2014,Bowrider,Fiberglass,Plano Marine - Plano,33,"Plano, Texas",Cruisers Sport Series.328 Bow Rider,
126,yes,yes,Request Price,2016,Bowrider,Fiberglass,Plano Marine - Plano,33,"Plano, Texas",Cruisers Sport Series.328 Bow Rider,
127,yes,yes,Request Price,2016,Bowrider,Fiberglass,"Crownline Boats, Inc.",33,,Crownline.335 SS,
128,yes,yes,Request Price,2017,Bowrider,Fiberglass,ALL About Boats,33,"Osage Beach, Missouri",Crownline.335SS,
129,yes,yes,234900,2014,Bowrider,Fiberglass,Tom George Yacht Group,33,"Bradenton, Florida",Cobalt.336,
130,yes,yes,237333,2014,Bowrider,Fiberglass,"Ugly John's Custom Boats, LLC.",33,"Grand Lake, Oklahoma",Cobalt.336,
131,yes,yes,Request Price,2014,Bowrider,Fiberglass,Strong's Marine- Port Washington,33,"Mattituck, New York",Cobalt.336,
132,yes,yes,249000,2015,Bowrider,Fiberglass,"Nashville Yacht Brokers, Inc.",33,"Nashville, Tennessee",Cobalt.336,
133,yes,yes,289000,2016,Bowrider,Fiberglass,Seattle Boat Company in Bellevue-Newport  (New and Pre-Owned Boat Marina),33,"Bellevue, Washington",Cobalt.336,
134,yes,yes,Request Price,2017,Bowrider,Fiberglass,The Nautic Group,33,"Kemah, Texas",Formula.330 Crossover Bowrider,
135,yes,yes,Request Price,2016,Bowrider,Fiberglass,Cruisers Sport Series,33,,Cruisers Sport Series.338 Bow Rider,
136,yes,yes,147900,2013,Bowrider,Fiberglass,Leigh Cascioli,33,"Marshall, Michigan",Monterey.328SS,
137,yes,yes,199000,2014,Bowrider,Fiberglass,CenterPointe Yacht Sales,33,"Milwaukee, Wisconsin",Cruisers Sport Series.328 Bow Rider,
138,yes,yes,Request Price,2016,Bowrider,Fiberglass,Gulf Coast Boat Sales,33,Florida,Formula.330 Crossover Bowrider,
139,yes,yes,Request Price,2017,Bowrider,Fiberglass,Bosun Marine,33,"Peabody, Massachusetts",Cruisers Sport Series.338 South Beach,
140,yes,yes,675000,2010,Bowrider,Wood,StanCraft Marine Center,33,"Post Falls, Idaho",Stancraft.Flash XM Hard Top,
141,yes,yes,147900,2013,Bowrider,Fiberglass,Leigh Cascioli,33,"Marshall, Michigan",Monterey.328SS,
142,yes,yes,Request Price,2016,Bowrider,Fiberglass,Rhode River Boat Sales,33,"Egewater, Maryland",Formula.330 Crossover Bowrider,
143,yes,yes,Request Price,2016,Bowrider,Fiberglass,Rhode River Boat Sales,33,"Edgewater, Maryland",Formula.330 Crossover Bowrider,
144,yes,yes,Request Price,2017,Bowrider,Fiberglass,Strong's Marine,33,"Mattituck, New York",Cobalt.336,
145,yes,yes,Request Price,2016,Bowrider,Fiberglass,Cobalt Boats,33,,Cobalt.336,
146,yes,yes,244500,2014,Bowrider,Fiberglass,Landings Marina,33,"Monkey Island, Oklahoma",Cobalt.336,
147,yes,yes,189000,2015,Bowrider,Fiberglass,Rick Obey & Associates,33,"Aventura, Florida",Chaparral.327 SSX,
148,yes,yes,350000,2009,Bowrider,Fiberglass,Antique Boat America,33,"Holland, Michigan",Riva.Sunriva,
149,yes,yes,156500,2014,Bowrider,Fiberglass,Backwater Marine & Yacht Brokerage Inc,33,"Cape Coral, Florida",Chaparral.327 SSX,
150,yes,yes,148995,2012,Bowrider,Fiberglass,Plano Marine,33,"Plano, Texas",Chaparral.327 SSX,
151,yes,yes,Request Price,2017,Bowrider,Fiberglass,Harbor View Marine,32,"Pensacola, FL / Orange Beach, Florida",Monterey.328 Super Sport,
152,yes,yes,169000,2013,Bowrider,Fiberglass,C-Jam Yacht Sales,33,"Somers Point, New Jersey",Chaparral.327 SSX,
153,yes,yes,49995,2006,Bowrider,Fiberglass,Backwater Marine & Yacht Brokerage Inc,32,"Cape Coral, Florida",Crownline.320 LS,
154,yes,yes,59995,2008,Bowrider,Fiberglass,Service 1 Marine,32,"La Porte, Indiana",Crownline.320 LS,
155,yes,yes,69995,2008,Bowrider,Fiberglass,Bill's Boat Works,32,"Lackawanna, New York",Crownline.320 LS,
156,yes,yes,49900,2006,Bowrider,Fiberglass,Longshore Boats,32,"Charleston, South Carolina",Crownline.320 LS,
157,yes,yes,149000,2013,Bowrider,Fiberglass,DiMillo's Yacht Sales - West River,33,"West River, Maryland",Chaparral.327 SSX,
158,yes,yes,Request Price,2016,Bowrider,Fiberglass,Tern Harbor Marina,32,"Hingham, Massachusetts",Monterey.328 Super Sport,
159,yes,yes,Request Price,2016,Bowrider,Fiberglass,Great Bay Marine- Islip Terrace,32,"Islip Terrace , New York",Monterey.328 Super Sport,
160,yes,yes,Request Price,2016,Bowrider,Fiberglass,Irwin Marine,32,"Alton Bay, New Hampshire",Monterey.328 Super Sport,
161,yes,yes,Request Price,2016,Bowrider,Fiberglass,Bob Hewes Boats at Arch Creek Marina,32,"Miami, Florida",Monterey.328 Super Sport w/ Joystick,
162,yes,yes,199000,2015,Bowrider,Fiberglass,Jacksonville Boat Sales,33,"Jacksonville Beach, Florida",Chaparral.327 S SX,
163,yes,yes,Request Price,2016,Bowrider,Fiberglass,Monterey Boats,32,,Monterey.328 Super Sport,
164,yes,yes,Request Price,2016,Bowrider,Fiberglass,Glencove Marina,32,"Lake Ozark, Montana",Monterey.328 Super Sport,
165,yes,yes,Request Price,2017,Bowrider,Fiberglass,North Florida Yacht Sales,32,"Jacksonville, Florida",Monterey.328 Super Sport,
166,yes,yes,174900,2016,Bowrider,Fiberglass,North Florida Yacht Sales,32,"Jacksonville, Florida",Monterey.328 Super Sport,
167,yes,yes,Request Price,2017,Bowrider,Composite,"Top Notch Marine, Inc.",32,"Fort Pierce, Florida",Cobalt.R35,
168,yes,yes,159000,2014,Bowrider,Fiberglass,Sun Sport Marine,32,"Harrison Township, Michigan",Chaparral.327 SSX,
169,yes,yes,149999,2015,Bowrider,Fiberglass,Yankee Boating Center,32,"West Haverstraw, New York",Monterey.328SS,
170,yes,yes,Request Price,2017,Bowrider,Composite,Top Notch Marine - Melbourne,32,"Melbourne, Florida",Cobalt.R35,
171,yes,yes,Request Price,2017,Bowrider,Fiberglass,Gainesville Marina & Boat Sales,32,"Gainesville, Georgia",Monterey.328SS,
172,yes,yes,159995,2012,Bowrider,Fiberglass,Mau Marine,32,"Okoboji, Iowa",Sea Ray.300 SLX,
173,yes,yes,102900,2012,Bowrider,Fiberglass,C-Jam Yacht Sales,32,"somers point, New Jersey",Monterey.328 Super Sport,
174,yes,yes,179995,2015,Bowrider,Fiberglass,Water Werks Boat,32,"Country Club Hills, Illinois",Monterey.328SS,
175,yes,yes,Request Price,2016,Bowrider,Fiberglass,C - Jam Yacht Sales -- Stevensville,32,"Stevensville, Maryland",Monterey.328SS Super Sport ,
176,yes,yes,139995,2013,Bowrider,Fiberglass,Marine Tech Concepts,32,"Port Clinton, Ohio",Monterey.328 Super Sport,
177,yes,yes,129990,2013,Bowrider,Fiberglass,Chicago Yacht Works,32,United States,Monterey.328 Super Sport,
178,yes,yes,149995,2012,Bowrider,Fiberglass,Formula Boats of Missouri,32,"Osage Beach, Missouri",Chaparral.327 SSX,
179,yes,yes,139900,2012,Bowrider,Fiberglass,ORANGE  BEACH  BOAT  SALES,32,"Orange Beach, Alabama",Chaparral.327 SSX,
180,yes,yes,269900,2015,Bowrider,Fiberglass,"Ugly John's Custom Boats, LLC.",32,"Grand Lake, Oklahoma",Cruisers Sport Series.328 CX,
181,yes,yes,Request Price,2015,Bowrider,Other,SkipperBud's - Grand Haven,32,"Grand Haven, Michigan",Cruisers.328 Bow Rider,
182,yes,yes,52500,2006,Bowrider,Fiberglass,Brightwater Yacht Brokers Inc.,32,"Toms River, New Jersey",Crownline.320LS LIFT KEPT,
183,yes,yes,49008,2006,Bowrider,Fiberglass,WORLDWIDE YACHT SALES INC.,32,"Cape Coral, Florida",Crownline.320 LS,
184,yes,yes,329900,2016,Bowrider,Fiberglass,MarineMax Pompano,32,"Pompano Beach, Florida",Boston Whaler.320 Vantage,
185,yes,yes,185000,2013,Bowrider,Fiberglass,Paul White,32,"Hilton, New York",Chaparral.327 SSX,
186,yes,yes,84900,2008,Bowrider,Fiberglass,United Yacht Sales - New York,32,"Long Island, New York",Crownline.320 LS,
187,yes,yes,Request Price,2017,Bowrider,Composite,Top Notch Marine - Pompano,32,"Pompano, Florida",Cobalt.R35,
188,yes,yes,Request Price,2016,Bowrider,Fiberglass,Grande Yachts International - Deerfield,32,"Deerfield Beach, Florida",Chris-Craft.Launch 32,
189,yes,yes,119995,2006,Bowrider,Fiberglass,Village Marina & Yacht Club,32,United States,Cobalt.323,
190,yes,yes,209000,2014,Bowrider,Fiberglass,Tobler Marina,32,"Hayden, Idaho",Chris-Craft.Launch 32,
191,yes,yes,Request Price,2017,Bowrider,Fiberglass,Harborside Yacht Sales,32,"Clinton, Connecticut",Chris-Craft.Launch 32,
192,yes,yes,199000,2014,Bowrider,Other,POP Yachts,32,"Springer, Oklahoma",Chris-Craft.Launch 32 Heritage Edition,
193,yes,yes,Request Price,2016,Bowrider,Fiberglass,Chris-Craft,32,,Chris-Craft.Launch 32,
194,yes,yes,152500,2012,Bowrider,Fiberglass,Seacoast-Heritage Yachts Newport Beach,32,"Newport Beach, California",Chaparral.327 SSX,
195,yes,yes,228000,2014,Bowrider,Fiberglass,Great Lakes Yacht Sales / Suncoast Yacht Sales / Chris Craft TB,32,"St Petersburg, Florida",Chris-Craft.32 Launch 2014,
196,yes,yes,149700,2012,Bowrider,Fiberglass,Knot 10 Yacht Sales,32,"Ft. Myers Beach, Florida",Chaparral.327 SSX,
197,yes,yes,149000,2012,Bowrider,Fiberglass,Export Yacht & Ship,32,"Miami/ Coconut Grove, Florida",Chaparral.327 SSX,
198,yes,yes,289900,2015,Bowrider,Fiberglass,"Ugly John's Custom Boats, LLC.",32,"Catoosa, Oklahoma",Cruisers Sport Series.328 SS,
199,yes,yes,129900,2013,Bowrider,Fiberglass,Formula Boats,32,"St. Clair, Michigan",Monterey.328 Super Sport,
200,yes,yes,129900,2013,Bowrider,Fiberglass,Lakeside Formula,32,"St. Clair Shores, Michigan",Monterey.328 Super Sport,
201,yes,yes,135000,2013,Bowrider,Fiberglass,Marina Delray Yacht Sales,32,"DELRAY BEACH, Florida",Monterey.328 Super Sport,
202,yes,yes,147900,2013,Bowrider,Fiberglass,WWW.Pier53Marine.com,32,"Port Clinton, Ohio",Monterey.328 Super Sport,
203,yes,yes,Request Price,2014,Bowrider,Fiberglass,Bob Hewes Boats at Arch Creek Marina,32,"North Miami, Florida",Monterey.328 Super Sport,
204,yes,yes,117000,2011,Bowrider,Fiberglass,Consignment Boat Sales,32,"Jacksonville, Florida",Monterey.328 SS,
205,yes,yes,129000,2013,Bowrider,Fiberglass,"Easy Sale USA, LLC",32,"Miami, Florida",Monterey.328 Super Sport,
206,yes,yes,139900,2013,Bowrider,Fiberglass,Power Yachts International,32,"Fort Myers, Florida",Monterey.328 Super Sport AXIUS,
207,yes,yes,153900,2015,Bowrider,Fiberglass,"Ugly John's Custom Boats, LLC.",32,"Grand Lake, Oklahoma",Monterey.328 Super Sport,
208,yes,yes,Request Price,2017,Bowrider,Fiberglass,Grand Pointe Marina,32,"Sterling Heights, Michigan",Monterey.328 Super Sport,
209,yes,yes,Request Price,2016,Bowrider,Fiberglass,Shoreline Boat Sales Inc,32,"Lake George, New York",Formula.290 BR,
210,yes,yes,129400,2011,Bowrider,Fiberglass,Bob Hewes Boats at Arch Creek Marina,32,"North Miami, Florida",Monterey.328 Super Sport,
