index,used,power,price_US,year,class,hull_material,seller,Length_ft,location,make_model,
3836,yes,yes,97500,2016,Bowrider,Fiberglass,Smooth Water Sports,23,"Gansevoort, New York",Malibu.Wakesetter 23 LSV,
3837,yes,yes,96995,2016,Bowrider,Fiberglass,Boulder Boats,23,"Henderson, Nevada",Malibu.Wakesetter 23 LSV,
3838,yes,yes,Request Price,2015,Bowrider,Fiberglass,Boulder Boats,23,"Henderson, Nevada",Malibu.Wakesetter 23 LSV,
3839,yes,yes,Request Price,2016,Bowrider,Fiberglass,Memphis Boat Center,23,"Memphis, Tennessee",Malibu.Wakesetter 23 LSV,
3840,yes,yes,99999,2016,Bowrider,Fiberglass,Carolina Inboard,23,"Irmo, South Carolina",Malibu.Wakesetter 23 LSV,
3841,yes,yes,Request Price,2016,Bowrider,Fiberglass,Tilly's Marine - Ventura,23,"Ventura, California",Malibu.Wakesetter 23 LSV Salt Water,
3842,yes,yes,Request Price,2016,Bowrider,Fiberglass,Tilly's Marine,23,"Huntington Beach, California",Malibu.Wakesetter 23 LSV Salt Water,
3843,yes,yes,88800,2015,Bowrider,Fiberglass,Tilly's Marine - Ventura,23,"Ventura, California",Malibu.Wakesetter 23 LSV,
3844,yes,yes,79995,2013,Bowrider,Fiberglass,Gull Lake Marine,23,"Richland, Michigan",Malibu.Wakesetter 23 LSV,
3845,yes,yes,69999,2012,Bowrider,Fiberglass,Taylor's Boats,23,"Draper, Utah",Malibu.Wakesetter 23 LSV,
3846,yes,yes,59995,2011,Bowrider,Fiberglass,Boulder Boats - Arizona,23,"Mesa, Arizona",Malibu.Wakesetter 23 LSV,
3847,yes,yes,69995,2013,Bowrider,Fiberglass,Larson Marine Rancho Cordova,23,"Rancho Cordova, California",Malibu.Wakesetter 23 LSV,
3848,yes,yes,67500,2013,Bowrider,Fiberglass,Marine World Inc.,23,"Wichita, Kansas",Malibu.Wakesetter 23 LSV,
3849,yes,yes,64999,2012,Bowrider,Fiberglass,Taylor's Boats,23,"Draper, Utah",Malibu.Wakesetter 23 LSV,
3850,yes,yes,86995,2014,Bowrider,Fiberglass,Boulder Boats,23,"Mesa, Arizona",Malibu.Wakesetter 23 LSV,
3851,yes,yes,54995,2008,Bowrider,Fiberglass,Taylor's Boats,23,"Draper, Utah",Malibu.Wakesetter 23 LSV,
3852,yes,yes,49900,2008,Bowrider,Fiberglass,Nautiques of Orlando,23,"Orlando, Florida",Malibu.Wakesetter 23 LSV,
3853,yes,yes,59000,2008,Bowrider,Fiberglass,Bakes Marine Center,23,"Issaquah, Washington",Malibu.Wakesetter 23 LSV,
3854,yes,yes,52750,2008,Bowrider,Fiberglass,POP Yachts,23,"Independence, Missouri",Malibu.Wakesetter Lsv 23,
3855,yes,yes,49995,2009,Bowrider,Fiberglass,Grandpa's Marine Sales,23,"Greensboro, North Carolina",Malibu.Wakesetter 23 LSV,
3856,yes,yes,57500,2011,Bowrider,Fiberglass,Seattle Boat Company in Bellevue-Newport  (New and Pre-Owned Boat Marina),23,"Bellevue, Washington",Malibu.23,
3857,yes,yes,Request Price,2009,Bowrider,Fiberglass,Bakes Marine Center,23,"Issaquah, Washington",Malibu.Wakesetter 23 LSV,
3858,yes,yes,61995,2011,Bowrider,Fiberglass,Boulder Boats - Arizona,23,"Mesa, Arizona",Malibu.Wakesetter 23 LSV,
3859,yes,yes,53995,2008,Bowrider,Fiberglass,Taylor's Boats,23,"Draper, Utah",Malibu.Wakesetter 23 LSV,
3860,yes,yes,3500,1996,Bowrider,Fiberglass,Gulf Shores Marina,23,"Naples, Florida",Mariah.240 Talari,
3861,yes,yes,Request Price,2017,Bowrider,Fiberglass,Hampton Bays Office,23,New York,Mastercraft.X23,
3862,yes,yes,Request Price,2017,Bowrider,Fiberglass,Marine Sales Kentuckiana,23,"Gilbertsville, Kentucky",Mastercraft.X23,
3863,yes,yes,Request Price,2016,Bowrider,Fiberglass,Boulder Boats,23,"Henderson, Nevada",Malibu.M235,
3864,yes,yes,39995,2007,Bowrider,Fiberglass,The Nautic Group,23,"Kemah, Texas",Malibu.XTI Wakesetter,
3865,yes,yes,Request Price,2017,Bowrider,Fiberglass,New England WaterSports,23,"Pembroke, Massachusetts",Mastercraft.XT 23,
3866,yes,yes,61200,2009,Bowrider,Other,POP Yachts,23,"Sicily Island, Louisiana",Mastercraft.22 X-Star,
3867,yes,yes,Request Price,2016,Bowrider,Fiberglass,Tilly's Marine - Ventura,23,"Ventura, California",Malibu.M235,
3868,yes,yes,87995,2014,Bowrider,Fiberglass,Hagadone Marine Group,23,"Coeur d'Alene, Idaho",Malibu.Wakesetter 23LSV,
