index,used,power,price_US$,year,class,hull_material,seller,Length_ft,location,Make_Model
1,yes,yes,1989540,2007,Bowrider,Fiberglass,"Olympic Marine
   ",102,France,Falcon 102
2,yes,yes,Call for Price,2014,Bowrider,Fiberglass,AZIMUT YACHTS LONDON   ,57,Belgium,Azimut 55S
3,yes,yes,551545,2004,Bowrider,Fiberglass,"Nautica Marina Blanca
   ",55,"ALICANTE, Spain",Azimut 55
4,yes,yes,397908,2003,Bowrider,Fiberglass,"Proamar Yachts
   ",65,"Valencia, Spain",Azimut 62
5,yes,yes,215573,2003,Bowrider,Fiberglass,"Atlantitudes (Azimut Yachts Portugal)
   ",48,Portugal,Atlantis 47
6,yes,yes,171353,2002,Bowrider,Fiberglass,"Atlantitudes (Azimut Yachts Portugal)
   ",45,"Portiṃo, Portugal",Fairline Targa 43
7,yes,yes,240000,2012,Bowrider,Aluminum,"Paradigm Yacht Sales
   ",56,"MN, United States",Darling Deck Yacht
8,yes,yes,862134,2007,Bowrider,Fiberglass,"Blue Point Yachting
   ",71,"Beirut, Lebanon",Azimut 68E
9,yes,yes,480000,1996,Bowrider,Steel,"Boatshed Saint Lucia
   ",80,"St Lucia, St. Lucia",Custom Catamaran
10,yes,yes,153100,1921,Bowrider,Wood,"Boatshed Plymouth
   ",77,"Plymouth, United Kingdom",Passenger Vessel Day Cruiser
11,yes,yes,49900,2002,Bowrider,Aluminum,"Dominion Yachts
   ",45,"Woodbridge, VA",Trident 45 Water Taxi
12,yes,yes,499900,2015,Bowrider,Fiberglass,"Cataumet Boats, Inc.
   ",37,"RI, United States",Grady-White 375 Freedom
13,yes,yes,29800,1940,Bowrider,Steel,"Boatshed Lake Michigan
   ",40,"Marquette, MI",Classic Work boat
14,yes,yes,Call for Price,2016,Bowrider,Fiberglass,"Village Marina & Yacht Club
   ",40,United States,Cobalt A40
15,yes,yes,121583,2001,Bowrider,Fiberglass,"Atlantitudes (Azimut Yachts Portugal)
   ",40,"Lisboa, Portugal",Windy 40 Bora
16,yes,yes,187901,2004,Bowrider,Fiberglass,"J Olivares Yacht Broker
   ",41,Spain,Absolute 41
17,yes,yes,690606,2015,Bowrider,Fiberglass,"Canary Islands Marine
   ",44,Spain,Four Winns Horizon 440
18,yes,yes,445873,2016,Bowrider,Fiberglass,"Mathias Marine Sports
   ",44,"Montreal, QC",Four Winns 44
19,yes,yes,109977,2007,Bowrider,Fiberglass,"ADS Marine
   ",37,"Middle Adriatic, Croatia",Bavaria Motor Boats 38 sport HT
20,yes,yes,110530,1994,Bowrider,Fiberglass,"Atlantitudes (Azimut Yachts Portugal)
   ",38,Portugal,Fairline Targa 38
21,yes,yes,Call for Price,2017,Bowrider,Fiberglass,"Glencove Marina
   ",37,"Lake Ozark, MT",Monterey 378 SE Bowrider
22,yes,yes,30865,1944,Bowrider,Wood,"Boatshed Plymouth
   ",36,"Plymouth, United Kingdom",Passenger Vessel River Cruiser
23,yes,yes,93995,2004,Bowrider,Fiberglass,"Village Marina & Yacht Club
   ",35,United States,Cobalt 343
24,yes,yes,497000,2015,Bowrider,Fiberglass,"Harborside Marina
   ",36,"CT, United States",Chris-Craft Launch 36
25,yes,yes,Call for Price,2017,Bowrider,Fiberglass,"Harborside Marina
   ",36,"Clinton, CT",Chris Craft Launch 36
26,yes,yes,198954,2012,Bowrider,Fiberglass,"Draco Servicios Nauticos
   ",37,"Tarragona, Spain",SEA HUNTER Tournament 35
27,yes,yes,Call for Price,2017,Bowrider,Fiberglass,"Maspor Marine International
   ",37,Mexico,Monterey 378 Super Express
28,yes,yes,39500,1998,Bowrider,Fiberglass,"Port Gardner Yacht Brokerage
   ",35,"Anacortes, WA",Bounty 35
29,yes,yes,498900,2015,Bowrider,Fiberglass,"Dave Bofill Marine, Inc
   ",36,"NY, United States",Chris Craft 36 Launch
30,yes,yes,270220,2017,Bowrider,Fiberglass,"Nautica Mengual
   ",35,"Costa Blanca, Spain",Four Winns H350
31,yes,yes,Call for Price,2016,Bowrider,Fiberglass,"IMG of Tampa Bay, Inc
   ",35,"St. Petersburg, FL",Formula 350 Crossover Bowrider
32,yes,yes,Call for Price,2017,Bowrider,Fiberglass,"Pier 53 Marine
   ",37,"Port Clinton, OH",Monterey 378SE
33,yes,yes,407726,2017,Bowrider,Fiberglass,"Chicago Yacht Works
   ",35,United States,Formula 350 Crossover Bowrider
34,yes,yes,407730,2017,Bowrider,Fiberglass,"Gulf Coast Boat Sales & Yacht Management
   ",35,"Naples, FL",Formula 350 Crossover Bowrider
35,yes,yes,254900,2014,Bowrider,Fiberglass,"Gulf Coast Boat Sales & Yacht Management
   ",35,"Naples, FL",Formula 350 CBR FX6
36,yes,yes,319000,2017,Bowrider,Fiberglass,"Sales at Dry Harbour Marine
   ",35,United States,Formula 350 Crossover Bowrider
37,yes,yes,259000,2016,Bowrider,Fiberglass,"Comstock Yacht Sales & Marina
   ",35,"Brick, NJ",Formula 350 Crossover Bow Rider
38,yes,yes,Call for Price,2016,Bowrider,Fiberglass,"The Nautic Group
   ",35,"Kemah, TX",Formula 350 Crossover Bowrider
39,yes,yes,229900,2013,Bowrider,Fiberglass,"Formula Boats of Missouri
   ",35,"Osage Beach, MO",Formula 350 Bow Rider
40,yes,yes,Call for Price,2017,Bowrider,Fiberglass,"Village Marina & Yacht Club
   ",35,United States,Cobalt R35
41,yes,yes,299900,2015,Bowrider,Fiberglass,"Gulf Coast Boat Sales & Yacht Management
   ",35,"Fort Myers, FL",Formula 350 Crossover Bowrider
42,yes,yes,,2016,Bowrider,Fiberglass,"Gulf Coast Boat Sales & Yacht Management
   ",35,"Naples, FL",Formula 350 Crossover Bowrider
43,yes,yes,225000,2013,Bowrider,Fiberglass,"Gulf Coast Boat Sales & Yacht Management
   ",35,"Cape Coral, FL",Formula 350 Sun Sport
44,yes,yes,239000,2013,Bowrider,Fiberglass,"Palm Beach Yacht Sales
   ",35,"Delray, FL",Formula 350 Crossover Bowrider
45,yes,yes,249850,2014,Bowrider,Fiberglass,"Shipyard Marine, Inc
   ",35,"Green Bay, WI",Formula 350 Crossover Bowrider
46,yes,yes,1,2017,Bowrider,Fiberglass,"Lakeside Formula
   ",35,"St. Clair Shores, MI",Formula 350 Crossover Bowrider
47,yes,yes,249995,2013,Bowrider,Fiberglass,"Formula Boats of Missouri
   ",35,"Osage Beach, MO",Formula 350 Crossover Bowrider
48,yes,yes,279000,2014,Bowrider,Fiberglass,"Borden & Associates Yacht Sales
   ",35,"Marco Island, FL",Formula 350 Crossover Bowrider
49,yes,yes,199000,2016,Bowrider,Fiberglass,"Mar Azul Marine Group
   ",35,"Miami, FL",Four Winns H350
50,yes,yes,299900,2015,Bowrider,Fiberglass,"Glencove Marina
   ",35,"Lake Ozark, MO",Formula Boats 350 Crossover Bowrider
51,yes,yes,211203,2016,Bowrider,Fiberglass,"Toronto Yacht Sales
   ",35,"Muskoka's , ON",Four Winns H350
52,yes,yes,Call for Price,2016,Bowrider,Other,"SkipperBud's
   ",35,"Walworth, WI",Four Winns 350H
53,yes,yes,268905,2016,Bowrider,Fiberglass,"MarineMax Inc.
   ",35,"Norwalk, CT",Sea Ray 350 SELECT
54,yes,yes,279900,2015,Bowrider,Fiberglass,"MarineMax Inc.
   ",35,"Sarasota, FL",Sea Ray 350 SELECT
55,yes,yes,230365,2014,Bowrider,Fiberglass,"MarineMax Inc.
   ",35,"Wrightsville Beach, NC",Sea Ray 350 SELECT
56,yes,yes,Call for Price,2017,Bowrider,Fiberglass,"Boater's Landing
   ",35,"Ft.Myers, FL",Four Winns H350
57,yes,yes,Call for Price,2016,Bowrider,Fiberglass,"MarineMax Inc.
   ",35,"Ft. Myers, FL",Sea Ray 350 SLX
58,yes,yes,Call for Price,2017,Bowrider,Other,"SkipperBud's
   ",35,"Harrison Township, MI",Four Winns 350H
59,yes,yes,259000,2014,Bowrider,Fiberglass,"MarineMax Inc.
   ",35,"Naples, FL",Sea Ray 350 SELECT
60,yes,yes,Call for Price,2016,Bowrider,Fiberglass,"MarineMax Inc.
   ",35,"Warwick, RI",Sea Ray 350 SLX
61,yes,yes,Call for Price,2016,Bowrider,Fiberglass,"Westchester Yacht Sales
   ",35,"Mamaroneck, NY",Four Winns H350
62,yes,yes,Call for Price,2016,Bowrider,Fiberglass,"MarineMax Inc.
   ",35,"Lindenhurst, NY",Sea Ray 350 SLX
63,yes,yes,Call for Price,2016,Bowrider,Fiberglass,"MarineMax Inc.
   ",35,"Sarasota, FL",Sea Ray 350 SLX
64,yes,yes,Call for Price,2016,Bowrider,Fiberglass,"MarineMax Inc.
   ",35,"Stuart, FL",Sea Ray 350 SLX
65,yes,yes,Call for Price,2016,Bowrider,Fiberglass,"MarineMax Inc.
   ",35,"St. Petersburg, FL",Sea Ray 350 SLX
66,yes,yes,Call for Price,2016,Bowrider,Fiberglass,"MarineMax Inc.
   ",35,"Miami, FL",Sea Ray 350 SLX
67,yes,yes,224900,2014,Bowrider,Fiberglass,"MarineMax Inc.
   ",35,"Lake Ozark, MO",Sea Ray 350 SELECT
68,yes,yes,Call for Price,2015,Bowrider,Fiberglass,"B & E Marine, Inc.
   ",35,"Michigan City, IN",Sea Ray 350 SLX
69,yes,yes,Call for Price,2016,Bowrider,Fiberglass,"MarineMax Inc.
   ",35,"Lewisville, TX",Sea Ray 350 SLX
70,yes,yes,Call for Price,2016,Bowrider,Fiberglass,"MarineMax Inc.
   ",35,"Afton, OK",Sea Ray 350 SLX
71,yes,yes,259900,2015,Bowrider,Fiberglass,"Formula Boats
   ",35,"Kelowna, BC",Sea Ray 350 SLX
72,yes,yes,239995,2015,Bowrider,Fiberglass,"Modern Yachts
   ",35,"NY, United States",Sea Ray 350 SLX
73,yes,yes,Call for Price,2016,Bowrider,Fiberglass,"MarineMax Inc.
   ",35,"Baltimore, MD",Sea Ray 350 SLX
74,yes,yes,239000,2015,Bowrider,Fiberglass,"Performance Boats
   ",35,"Cancun, Quintana Roo, Mexico",Sea Ray 350 SLX
75,yes,yes,239900,2015,Bowrider,Fiberglass,"Performance Boats
   ",35,"Cancun, Quintana Roo, Mexico",Sea Ray 350 SLX
76,yes,yes,239995,2015,Bowrider,Fiberglass,"Strong's Marine
   ",35,"Port Washington, NY",Sea Ray 350 SLX
77,yes,yes,Call for Price,2016,Bowrider,Fiberglass,"MarineMax Inc.
   ",35,"Ship Bottom, NJ",Sea Ray 350 SLX
78,yes,yes,Call for Price,2016,Bowrider,Fiberglass,"Marina Marbella Group
   ",35,"Mallorca, Spain",Sea Ray 350 SLX
79,yes,yes,218889,2012,Bowrider,Fiberglass,"Kirchner & Mares International Yacht Brokerage
   ",35,"River Rhein, Germany",Cobalt 323
80,yes,yes,Call for Price,2016,Bowrider,Fiberglass,"MarineMax Inc.
   ",35,"Pompano Beach, FL",Sea Ray 350 SLX
81,yes,yes,114000,2007,Bowrider,Fiberglass,"Maritime Yacht Sales
   ",35,"St. Thomas, Virgin Islands (US)",Contender 35 Tournament
82,yes,yes,Call for Price,2017,Bowrider,Fiberglass,"MarineMax Inc.
   ",35,"Ft. Myers, FL",Sea Ray SLX 350
83,yes,yes,Call for Price,2016,Bowrider,Other,"SkipperBud's
   ",35,"Madison, WI",Sea Ray 350 SLX
84,yes,yes,279900,2016,Bowrider,Fiberglass,"Ludington Yacht Sales
   ",35,"SPRING LAKE, MI",Sea Ray 350 SLX
85,yes,yes,Call for Price,2017,Bowrider,Fiberglass,"MarineMax Inc.
   ",35,"Lewisville, TX",Sea Ray SLX 350
86,yes,yes,Call for Price,2016,Bowrider,Other,"SkipperBud's
   ",35,"Pewaukee, WI",Sea Ray 350 SLX
87,yes,yes,259900,2015,Bowrider,Fiberglass,"Chicago Yacht Works
   ",35,United States,Sea Ray 350 SLX
88,yes,yes,249000,2015,Bowrider,Fiberglass,"Sun Country Marine
   ",35,"Newport Beach, CA",Sea Ray 350 SLX
89,yes,yes,99500,2007,Bowrider,Fiberglass,"Derani Yachts
   ",34,"Pattaya, Thailand",Fountain 34CC
90,yes,yes,378870,2016,Bowrider,Fiberglass,"Chris Craft Balearics
   ",34,"Mallorca, Spain",Chris-Craft Launch 32
91,yes,yes,398653,2016,Bowrider,Fiberglass,"Fairline North Mallorca
   ",34,"Mallorca, Spain",Sea Ray 350 SLX
92,yes,yes,Call for Price,2017,Bowrider,Fiberglass,"MarineMax Inc.
   ",35,"Lake Ozark, MO",Sea Ray SLX 350
93,yes,yes,1,2017,Bowrider,Fiberglass,"Sun Country Marine
   ",35,"Newport Beach, CA",Sea Ray SLX 350
94,yes,yes,,2017,Bowrider,Fiberglass,"Modern Yachts
   ",35,"Westhampton Beach, NY",Sea Ray 350 SLX
95,yes,yes,289000,2013,Bowrider,Fiberglass,"Bluewater Yacht Sales
   ",34,"Baltimore, MD",Regulator 34SS
96,yes,yes,359405,2017,Bowrider,Fiberglass,"Bates Wharf
   ",34,"Coming to the UK soon..., United States",Chris-Craft Launch 32 Heritage Edition
97,yes,yes,66318,2002,Bowrider,Fiberglass,"Summer Yachts
   ",33,Spain,Gobbi 315 SC
98,yes,yes,1,2017,Bowrider,Fiberglass,"Waterfront Marine Yacht Sales-New Jersey
   ",34,"Edgewater, MD",Chaparral 337 SSX
99,yes,yes,1,2017,Bowrider,Fiberglass,"Waterfront Marine Yacht Sales-New Jersey
   ",34,"SOMERS POINT, NJ",Chaparral 337 SSX
100,yes,yes,42868,1989,Bowrider,Fiberglass,"Boatshed Brixham
   ",33,"South Devon, United Kingdom",Lochin 33
101,yes,yes,64999,2000,Bowrider,Fiberglass,"MarineMax Inc.
   ",34,"Wakefield, RI",Sea Ray 340 Sundancer
102,yes,yes,1,2016,Bowrider,Fiberglass,"Tom George Yacht Group
   ",33,"Dunedin, FL",Cobalt 336
103,yes,yes,Call for Price,2017,Bowrider,Fiberglass,"Iguana Boat Sales
   ",33,"Osage Beach, MO",Cruisers Sport Series 338 Bow Rider
104,yes,yes,223934,2015,Bowrider,Fiberglass,"Canary Islands Marine
   ",33,Spain,Four Winns Horizon 350
105,yes,yes,Call for Price,2014,Bowrider,Fiberglass,"Strong's Marine
   ",33,"Mattituck, NY",Cobalt 336
106,yes,yes,Call for Price,2016,Bowrider,Fiberglass,"Pier 33
   ",34,"St. Joseph, MI",Chaparral 337 SSX
107,yes,yes,26900,1988,Bowrider,Fiberglass,"Krenzer Marine
   ",34,"Sodus Point, NY",Sea Ray 340 Express
108,yes,yes,139621,2007,Bowrider,Fiberglass,"Precious Marine
   ",34,"Brixham, Devon, United Kingdom",Rodman 1040
109,yes,yes,Call for Price,2016,Bowrider,Fiberglass,"Pennybridge Marine
   ",33,"Stony Point, NY",Chaparral 337 SSX
110,yes,yes,249000,2015,Bowrider,Fiberglass,"Nashville Yacht Brokers, Inc.
   ",33,"Nashville, TN",Cobalt 336
111,yes,yes,Call for Price,2016,Bowrider,Fiberglass,"Anchor Marine
   ",33,"Farmingdale, NJ",Chaparral 337SSX
112,yes,yes,234900,2014,Bowrider,Fiberglass,"Tom George Yacht Group
   ",33,"Bradenton, FL",Cobalt '336'
113,yes,yes,,2017,Bowrider,Fiberglass,"Amity Harbor Marine Inc
   ",33,"Amityville, NY",Chaparral 337 SSX
114,yes,yes,289000,2016,Bowrider,Fiberglass,"Seattle Boat Company
   ",33,"Bellevue, WA",Cobalt 336
115,yes,yes,237333,2014,Bowrider,Fiberglass,"Ugly John's Custom Boats, LLC.
   ",33,"Grand Lake, OK",Cobalt 336
116,yes,yes,Call for Price,2016,Bowrider,Fiberglass,"Iguana Boat Sales
   ",33,"Osage Beach, MO",Cruisers Sport Series 338 Bow Rider
117,yes,yes,Call for Price,2017,Bowrider,Fiberglass,"Comstock Yacht Sales & Marina
   ",33,"Brick, NJ",Formula 330 Crossover Bowrider
118,yes,yes,,2016,Bowrider,Fiberglass,"Gulf Coast Boat Sales & Yacht Management
   ",33,"FL, United States",Formula 330 Crossover Bowrider
119,yes,yes,Call for Price,2017,Bowrider,Fiberglass,"Lakeside Formula
   ",33,United States,Formula 330 CBR
120,yes,yes,Call for Price,2017,Bowrider,Fiberglass,"Lakeside Formula
   ",33,"MI, United States",Formula 330 CBR
121,yes,yes,Call for Price,2016,Bowrider,Fiberglass,"Staten Island Yacht Sales
   ",33,"Staten Island, NY",Cruisers Yachts 338 Bow Rider
122,yes,yes,Call for Price,2017,Bowrider,Other,"SkipperBud's
   ",33,"Marblehead, OH",Cruisers Yachts 338 SOUTH BEACH
123,yes,yes,Call for Price,2017,Bowrider,Fiberglass,"The Nautic Group
   ",33,"Kemah, TX",Formula 330 Crossover Bowrider
124,yes,yes,350000,2009,Bowrider,Fiberglass,"Antique Boat America
   ",33,"Holland, MI",Riva Sunriva
125,yes,yes,Call for Price,2017,Bowrider,Fiberglass,"South Shore Marine
   ",33,"Huron, OH",Grady-White 335 Freedom
126,yes,yes,199000,2014,Bowrider,Fiberglass,"CenterPointe Yacht Sales
   ",33,"Milwaukee, WI",Cruisers Sport Series 328 Bow Rider
127,yes,yes,Call for Price,2017,Bowrider,Fiberglass,"Bosun Marine
   ",33,"Peabody, MA",Cruisers Sport Series 338 South Beach
128,yes,yes,Call for Price,2015,Bowrider,Fiberglass,"Strong's Marine
   ",33,"Southampton, NY",Cobalt 336
129,yes,yes,Call for Price,2017,Bowrider,Fiberglass,"Strong's Marine
   ",33,"Mattituck, NY",Cobalt 336
130,yes,yes,214995,2015,Bowrider,Fiberglass,"Iguana Boat Sales
   ",33,"Osage Beach, MO",Cruisers Sport Series 328 Bow Rider
131,yes,yes,76280,2007,Bowrider,Fiberglass,"Select Yachts Spain
   ",33,Spain,Monterey 298 SS
132,yes,yes,400000,2010,Bowrider,Fiberglass,"Performance Boats
   ",33,"Florida (Harbour Towne Marin), FL",Riva Sunriva
133,yes,yes,27633,1999,Bowrider,Fiberglass,"El Tinglado De Perico S.L.
   ",33,"EL MASNOU, Spain",Avanti 33
134,yes,yes,49995,2006,Bowrider,Fiberglass,"Backwater Marine & Yacht Brokerage Inc
   ",32,"Cape Coral, FL",Crownline 320 LS
135,yes,yes,Call for Price,2016,Bowrider,Fiberglass,"Yarmouth Boat Yard, Inc.
   ",33,"Naples, ME",Regal 32 Express
136,yes,yes,148995,2012,Bowrider,Fiberglass,"Plano Marine
   ",33,"Plano, TX",Chaparral 327 SSX
137,yes,yes,169000,2013,Bowrider,Fiberglass,"C-Jam Yacht Sales
   ",33,"Somers Point, NJ",Chaparral 327 SSX
138,yes,yes,189000,2015,Bowrider,Fiberglass,"Rick Obey & Associates
   ",33,"Aventura, FL",Chaparral 327 SSX
139,yes,yes,49900,2006,Bowrider,Fiberglass,"Longshore Boats
   ",32,"Charleston, SC",Crownline 320 LS
140,yes,yes,195000,2013,Bowrider,Fiberglass,"Simpson Marine Limited
   ",33,Singapore,Chaparral 327 SSX
141,yes,yes,1,2016,Bowrider,Fiberglass,"Great Bay Marine- Islip Terrace
   ",32,"Islip Terrace , NY",Monterey 328 Super Sport
142,yes,yes,156500,2014,Bowrider,Fiberglass,"Backwater Marine & Yacht Brokerage Inc
   ",33,"Cape Coral, FL",Chaparral 327 SSX
143,yes,yes,149000,2013,Bowrider,Fiberglass,"DiMillo's Yacht Sales
   ",33,"West River, MD",Chaparral 327 SSX
144,yes,yes,219545,2016,Bowrider,Fiberglass,"Idealboat Sales
   ",33,"Pwllheli, Gwynedd, United Kingdom",Chaparral 327 SSX
145,yes,yes,102900,2012,Bowrider,Fiberglass,"C-Jam Yacht Sales
   ",32,"somers point, NJ",Monterey 328 Super Sport
146,yes,yes,1,2017,Bowrider,Fiberglass,"North Florida Yacht Sales
   ",32,"Jacksonville, FL",Monterey 328 Super Sport
147,yes,yes,Call for Price,2016,Bowrider,Fiberglass,"Tern Harbor Marina LLC
   ",32,"Hingham, MA",Monterey 328 Super Sport
148,yes,yes,129990,2013,Bowrider,Fiberglass,"Chicago Yacht Works
   ",32,United States,Monterey 328 Super Sport
149,yes,yes,Call for Price,2016,Bowrider,Fiberglass,"Glencove Marina
   ",32,"Lake Ozark, MT",Monterey 328 Super Sport
150,yes,yes,174900,2016,Bowrider,Fiberglass,"North Florida Yacht Sales
   ",32,"Jacksonville, FL",Monterey 328 Super Sport
151,yes,yes,69634,2007,Bowrider,Fiberglass,"Marina Marbella Group
   ",32,"Marina del Este, Spain",Sea Ray 290 Select EX
152,yes,yes,Call for Price,2016,Bowrider,Fiberglass,"C-Jam Yacht Sales
   ",32,"Stevensville, MD",Monterey 328SS Super Sport
153,yes,yes,149000,2012,Bowrider,Fiberglass,"Export Yacht & Ship
   ",32,"Miami/ Coconut Grove, FL",Chaparral 327 SSX
154,yes,yes,149995,2012,Bowrider,Fiberglass,"Formula Boats of Missouri
   ",32,"Osage Beach, MO",Chaparral 327 SSX
155,yes,yes,84950,2007,Bowrider,Fiberglass,"Performance Boat Center
   ",32,"Osage Beach, MO",Crownline 320LS
156,yes,yes,152500,2012,Bowrider,Fiberglass,"Seacoast Yachts
   ",32,"Newport Beach, CA",Chaparral 327 SSX
157,yes,yes,159000,2014,Bowrider,Fiberglass,"Sun Sport Marine
   ",32,"Harrison Township, MI",Chaparral 327 SSX
158,yes,yes,99477,2005,Bowrider,Fiberglass,"Lovell Yachts Limited
   ",32,"St Cast, France",Boston Whaler 320 Outrage
159,yes,yes,329900,2016,Bowrider,Fiberglass,"MarineMax Inc.
   ",32,"Pompano Beach, FL",Boston Whaler 320 Vantage
160,yes,yes,228000,2014,Bowrider,Fiberglass,"Great Lakes Yacht Sales / Suncoast Yacht Sales / Chris Craft TB
   ",32,"St Petersburg, FL",Chris Craft 32 Launch 2014
161,yes,yes,185000,2013,Bowrider,Fiberglass,"Sea Change Yacht Sellers
   ",32,"Hilton, NY",Chaparral 327 SSX
162,yes,yes,149700,2012,Bowrider,Fiberglass,"Knot 10 Yacht Sales
   ",32,"Ft. Myers Beach, FL",Chaparral 327 SSX
163,yes,yes,49008,2006,Bowrider,Fiberglass,"WORLDWIDE YACHT SALES INC.
   ",32,"Cape Coral, FL",Crownline 320 LS
164,yes,yes,84900,2008,Bowrider,Fiberglass,"United Yacht Sales
   ",32,"Long Island, NY",Crownline 320 LS
165,yes,yes,204481,2016,Bowrider,Fiberglass,"Draco Servicios Nauticos
   ",32,"BARCELONA, Spain",De Antonio D33 OPEN
166,yes,yes,199995,2014,Bowrider,Fiberglass,"Iguana Boat Sales
   ",32,United States,Cruisers 328SS Sport Series
167,yes,yes,Call for Price,2016,Bowrider,Fiberglass,"Grande Yachts International
   ",32,"Deerfield Beach, FL",Chris-Craft Launch 32
168,yes,yes,119995,2006,Bowrider,Fiberglass,"Village Marina & Yacht Club
   ",32,United States,Cobalt 323
169,yes,yes,Call for Price,2017,Bowrider,Fiberglass,"Harborside Marina
   ",32,"Clinton, CT",Chris-Craft Launch 32
170,yes,yes,52500,2006,Bowrider,Fiberglass,"Brightwater Yacht Brokers Inc.
   ",32,"Toms River, NJ",Crownline 320LS LIFT KEPT
171,yes,yes,399000,2016,Bowrider,Fiberglass,"Tot Nautic
   ",32,"Port d'Andratx, Mallorca, Spain",Chris Craft Corsair 32
172,yes,yes,269900,2015,Bowrider,Fiberglass,"Ugly John's Custom Boats, LLC.
   ",32,"Grand Lake, OK",Cruisers Sport Series 328 CX
173,yes,yes,129900,2013,Bowrider,Fiberglass,"Formula Boats
   ",32,"St. Clair, MI",Monterey 328 Super Sport
174,yes,yes,129400,2011,Bowrider,Fiberglass,"Bob Hewes Boats at Arch Creek Marina
   ",32,"North Miami, FL",Monterey 328 Super Sport
175,yes,yes,129900,2013,Bowrider,Fiberglass,"Lakeside Formula
   ",32,"St. Clair Shores, MI",Monterey 328 Super Sport
176,yes,yes,135000,2013,Bowrider,Fiberglass,"Marina Delray Yacht Sales
   ",32,"DELRAY BEACH, FL",Monterey 328 Super Sport
177,yes,yes,147900,2013,Bowrider,Fiberglass,"Pier 53 Marine
   ",32,"Port Clinton, OH",Monterey 328 Super Sport
178,yes,yes,153900,2015,Bowrider,Fiberglass,"Ugly John's Custom Boats, LLC.
   ",32,"Grand Lake, OK",Monterey 328 Super Sport
179,yes,yes,105000,2011,Bowrider,Fiberglass,"Aqua Blue Yacht Sales
   ",32,"Fort Lauderdale, FL",Monterey 328 SS Joystick (Anniversary)
180,yes,yes,210000,2014,Bowrider,Fiberglass,"Moto United
   ",32,"Draper, UT",Cruisers Yachts 328 Black Diamond
181,yes,yes,289900,2015,Bowrider,Fiberglass,"Ugly John's Custom Boats, LLC.
   ",32,"Catoosa, OK",Cruisers Sport Series 328 SS
182,yes,yes,Call for Price,2016,Bowrider,Fiberglass,"Singleton Marine Yacht Sales at Holiday Marina
   ",32,"Buford, GA",Regal 3200
183,yes,yes,Call for Price,2017,Bowrider,Fiberglass,"Ocean Blue Yacht Sales, LLC.
   ",32,"SE Florida, FL",Pursuit DC 325 Dual Console
184,yes,yes,Call for Price,2017,Bowrider,Fiberglass,"Bosun Marine
   ",32,"Peabody, MA",Pursuit 325 DC
185,yes,yes,Call for Price,2017,Bowrider,Fiberglass,"South Shore Marine
   ",32,"Huron, OH",Pursuit 325 Dual Console
186,yes,yes,Call for Price,2017,Bowrider,Fiberglass,"Bosun Marine
   ",32,"Mashpee, MA",Pursuit 325 DC
187,yes,yes,129000,2013,Bowrider,Fiberglass,"Easy Sale
   ",32,"Miami, FL",Monterey 328 Super Sport
188,yes,yes,Call for Price,2017,Bowrider,Fiberglass,"Bosun Marine
   ",32,"Peabody, MA",Pursuit 325 DC
189,yes,yes,Call for Price,2017,Bowrider,Fiberglass,"Bosun Marine
   ",32,"On Order, MA",Pursuit 325 DC
190,yes,yes,Call for Price,2014,Bowrider,Fiberglass,"Bob Hewes Boats at Arch Creek Marina
   ",32,"North Miami, FL",Monterey 328 Super Sport
191,yes,yes,Call for Price,2017,Bowrider,Fiberglass,"Bosun Marine
   ",32,"Peabody, MA",Pursuit 325 DC
192,yes,yes,169900,2015,Bowrider,Fiberglass,"Singleton Marine Yacht Sales at Holiday Marina
   ",32,"Buford, GA",Regal 3200
193,yes,yes,Call for Price,2017,Bowrider,Fiberglass,"Saba Marine
   ",32,"Colchester, VT",Sea Ray 310 SLX
194,yes,yes,98390,2009,Bowrider,Fiberglass,"Marina Estrella S.L.
   ",31,"Mallorca, Spain",Cobalt 302
195,yes,yes,10000,1986,Bowrider,Fiberglass,"Irish Boat Shop
   ",32,"Charlevoix, MI",Wellcraft ST. TROPEZ
196,yes,yes,Call for Price,2016,Bowrider,Fiberglass,"MarineMax Inc.
   ",32,"Norwalk, CT",Sea Ray 310 SLX
197,yes,yes,Call for Price,2016,Bowrider,Fiberglass,"Sundance Marine USA
   ",32,"Jensen Beach, FL",Regal 3200 Bowrider
198,yes,yes,89990,2007,Bowrider,Fiberglass,"Village Marina & Yacht Club
   ",32,"Lake Ozark, MO",Cobalt 302
199,yes,yes,93024,2009,Bowrider,Fiberglass,"Carine Yachts Ltd
   ",32,"Palma, Spain",Cobalt 302
200,yes,yes,Call for Price,2016,Bowrider,Fiberglass,"Sundance Marine USA
   ",32,"FL, United States",Regal 3200 Bowrider
201,yes,yes,99900,2013,Bowrider,Fiberglass,"Boater's Landing
   ",31,"Ft.Myers, FL",Four Winns H310
202,yes,yes,167262,2014,Bowrider,Fiberglass,"Canary Islands Marine
   ",31,Spain,Four Winns Horizon 310
203,yes,yes,90000,2010,Bowrider,Fiberglass,"Performance Boats
   ",31,"Acapulco, Guerrero, Mexico",Four Winns H310
204,yes,yes,Call for Price,2016,Bowrider,Fiberglass,"AM PM MARINE
   ",32,"Pasadena, MD",Regal 3200 Bowrider
205,yes,yes,Call for Price,2017,Bowrider,Fiberglass,"Marina Marbella Group
   ",31,"Mallorca, Spain",Sea Ray 310 SLX
